id,name,money,institute
0,Terence Blows,114480,Northern Arizona University
2,Mark Ghiorso,376570,University of Chicago
5,Cathlyn Stylinski,1272986,University of Maryland Center for Environmental Sciences
6,Philip Townsend,1272986,University of Maryland Center for Environmental Sciences
7,Robert Nemanich,1560000,North Carolina State University
8,Thomas Pearl,1820000,North Carolina State University
9,Laura Clarke,1560000,North Carolina State University
10,Christopher Gorman,1920000,North Carolina State University
11,Alexei Gruverman,1560000,North Carolina State University
13,Bo Li,118591,University of Maryland College Park
14,Richard Bennett,663247,University of Arizona
15,Andrew Freed,286291,Purdue University
16,Eric Calais,286291,Purdue University
17,Debra Nakama,1999215,University of Hawaii
18,flo wiger,1999215,University of Hawaii
19,Jefferson Moore,529987,University of California-Irvine
20,Michael Prather,280487,University of California-Irvine
21,Joel Conte,276000,University of California-San Diego
22,Jose Restrepo,346000,University of California-San Diego
23,Yael VanDenEinde,346000,University of California-San Diego
24,J Luco,276000,University of California-San Diego
25,Scott Ashford,276000,University of California-San Diego
26,Stojan Radic,330000,University of California-San Diego
29,Jonnagadda Rao,53880,Case Western Reserve University
30,Pedro Silva,83845,Missouri University of Science and Technology
31,Genda Chen,213716,Missouri University of Science and Technology
32,Christopher Pool,12000,University of Kentucky Research Foundation
33,GuYeon Wei,375000,Harvard University
34,Michael Smith,375000,Harvard University
35,David Brooks,775000,Harvard University
39,Raymond Schmitt,151342,Woods Hole Oceanographic Institution
40,Eugene Rankey,271645,University of Miami Rosenstiel School of Marine&Atmospheric Sci
47,Robin Bell,91499,Columbia University
48,Peter Schlosser,270660,Columbia University
49,Richard Amasino,531006,University of Wisconsin-Madison
50,Robert Fowler,925261,William Marsh Rice University
51,Keith Cooper,1325261,William Marsh Rice University
52,Charles Koelbel,925261,William Marsh Rice University
53,Ken Kennedy,925261,William Marsh Rice University
54,John MellorCrummey,925261,William Marsh Rice University
55,Randall Hulet,549000,William Marsh Rice University
56,Terri Griffith,202988,Santa Clara University
58,Alexei Borodin,149999,California Institute of Technology
59,Paul Bohn,225235,University of Illinois at Urbana-Champaign
60,Richard Anthes,44916940,University Corporation For Atmospheric Res
61,Sarah Stoll,526455,Georgetown University
62,Rachel Brewster,583986,University of Maryland Baltimore County
63,Russell Walters,15000,University of Washington
64,Edward Jaselskis,15000,University of Washington
65,Eddy Rojas,15000,University of Washington
66,Lucio Soibelman,15000,University of Washington
67,William OBrien,15000,University of Washington
68,Vicki Martin,351990,Appalachian State University
69,Mark Venable,351990,Appalachian State University
70,RuthAnn Dewel,351990,Appalachian State University
71,Shea Tuberty,351990,Appalachian State University
72,Claire Williams,25000,Duke University
73,William Schlesinger,25000,Duke University
74,Marleigh Sheaff,37480,University of Wisconsin-Madison
75,Vladimir Pavlovic,583322,Rutgers University New Brunswick
76,William Gerace,2999961,University of Massachusetts Amherst
77,William Leonard,2499968,University of Massachusetts Amherst
78,Allan Feldman,2583299,University of Massachusetts Amherst
79,Ian Beatty,2499968,University of Massachusetts Amherst
80,Clement Yu,174999,University of Illinois at Chicago
81,John Burch,634849,University of Michigan Ann Arbor
82,Diarmaid OFoighil,634849,University of Michigan Ann Arbor
84,Peter Wierenga,177246,University of Arizona
85,Shlomo Neuman,541649,University of Arizona
86,Tzungmow Yao,177246,University of Arizona
87,Joseph Montoya,641089,Georgia Tech Research Corporation
88,Irene Fonseca,748352,Carnegie-Mellon University
89,Katerina Semendeferi,8000,University of California-San Diego
90,Gifford Miller,463475,University of Colorado at Boulder
91,Gil Rosenthal,259849,Trustees of Boston University
92,Sarah Mathews,481515,Harvard University
93,Shiyi Chen,2598338,Johns Hopkins University
94,Gregory Eyink,2598338,Johns Hopkins University
95,Randal Burns,3021863,Johns Hopkins University
96,Ethan Vishniac,2598338,Johns Hopkins University
97,Alexander Szalay,3349843,Johns Hopkins University
98,Duncan Moore,600000,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
99,Susan Henry,600000,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
100,Robert Seem,600000,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
101,James Shanteau,9106,Kansas State University
102,Lisa Korf,76945,University of Texas at Austin
104,David Knoke,7500,University of Minnesota-Twin Cities
105,David DiBiasio,271255,Worcester Polytechnic Institute
106,Terri Camesano,271255,Worcester Polytechnic Institute
107,Gordon Emslie,4474005,Oklahoma State University
108,Teri Reed,4474005,Oklahoma State University
109,Carl Rutledge,4474005,Oklahoma State University
110,Zola Drain,4474005,Oklahoma State University
111,Pakize Pulat,4474005,Oklahoma State University
112,J Diaz,4474005,Oklahoma State University
113,Earl Mitchell,4474005,Oklahoma State University
114,Cornell Thomas,4474005,Oklahoma State University
115,Marie Aubry,212945,Rutgers University New Brunswick
116,Colomban deVargas,212945,Rutgers University New Brunswick
117,Peter Taylor,6000,University of Massachusetts Boston
118,Arthur Lupia,2856894,University of Pennsylvania
119,Diana Mutz,2856894,University of Pennsylvania
120,Theron Hendrix,914911,Auburn University
121,Lecia Barker,754983,Auburn University
122,Juan Gilbert,754983,Auburn University
123,Lamont Flowers,754983,Auburn University
124,Manuel PerezQuinones,754983,Auburn University
125,James MooreIII,754983,Auburn University
126,Bevlee Watford,754983,Auburn University
127,Whitney Edmister,754983,Auburn University
128,Edward Kohler,881948,University of California-Los Angeles
129,Eric Perreault,50000,Northwestern University
130,Carlos Varela,550000,Rensselaer Polytechnic Institute
131,Eduardo Martin,191420,University of Central Florida
132,Aaron Stump,337825,Washington University
133,Rob deRuytervanSteveninck,419745,Indiana University
134,William Bialek,419745,Indiana University
135,Timothy Healey,252291,Cornell University
137,Alin Dobra,499952,University of Florida
145,JyeChyi Lu,192555,Georgia Tech Research Corporation
146,Alan Erera,75000,Georgia Tech Research Corporation
147,Chelsea White,75000,Georgia Tech Research Corporation
148,CFJeff Wu,227098,Georgia Tech Research Corporation
149,Paul Kvam,192555,Georgia Tech Research Corporation
150,Robert Stern,463272,University of Texas at Dallas
151,Karen Cone,1143458,University of Missouri-Columbia
152,Barbara Garrison,1167278,Pennsylvania State Univ University Park
153,Michael Ogawa,375000,Bowling Green State University
155,Hilda Kurtz,11630,University of Georgia Research Foundation Inc
157,Peter Raymond,298031,Yale University
158,David Stark,109611,Columbia University
159,Balazs Vedres,74992,Columbia University
161,Michael Singer,23320,North Carolina State University
162,Erich Kaltofen,23320,North Carolina State University
163,Hoon Hong,23320,North Carolina State University
164,Agnes Szanto,23320,North Carolina State University
165,Lesley Smith,131196,University of Colorado at Boulder
166,Carol McLaren,131196,University of Colorado at Boulder
167,Sandra Laursen,131196,University of Colorado at Boulder
168,Edward Feser,11951,University of North Carolina at Chapel Hill
169,Gary Sandefur,7408,University of Wisconsin-Madison
170,Mustafa Emirbayer,7408,University of Wisconsin-Madison
173,Ian Baker,438506,Dartmouth College
174,Mark Ratner,1300000,Cornell University
175,Geoffrey Coates,1334806,Cornell University
176,Hector Abruna,1545939,Cornell University
177,James Sethna,1300000,Cornell University
178,Daniel Ralph,1300000,Cornell University
180,Jeffrey Harper,1192503,Board of Regents, NSHE, obo University of Nevada, Reno
181,Stephen Norton,1001626,University of Maine
182,Ivan Fernandez,1001626,University of Maine
183,Aria Amirbahman,1001626,University of Maine
184,Kirk Pruhs,99951,University of Pittsburgh
185,Kelly BenoitBird,181623,University of Hawaii
186,Whitlow Au,181623,University of Hawaii
187,Laura Pulido,10000,University of Southern California
188,JoAnn Smith,600000,University of Kansas Center for Research Inc
189,Charles Decedue,750000,University of Kansas Center for Research Inc
190,Sandra Landuyt,600000,University of Kansas Center for Research Inc
193,Venkatesan Renugopalakrishnan,220896,Florida International University
194,Sakhrat Khizroev,220896,Florida International University
195,Dmitri Litvinov,220896,Florida International University
198,Krzysztof Matyjaszewski,464875,Carnegie-Mellon University
199,Jeffrey Chase,8400,Duke University
200,John Pollock,404977,University of Arizona
201,Ian Skilling,197958,University of Pittsburgh
202,B Turner,41936,Clark University
203,Dianne Rocheleau,23360,Clark University
204,Victor Wolfe,674996,University of Rhode Island
205,Lisa DiPippo,674996,University of Rhode Island
206,Timothy Henry,674996,University of Rhode Island
208,Warren Pickett,270000,University of California-Davis
211,Nicolas Gruber,645234,University of California-Los Angeles
212,Steven Clarke,295900,University of Kentucky Research Foundation
213,Allan Downie,295900,University of Kentucky Research Foundation
215,Yu Zhang,64287,University of Colorado at Colorado Springs
216,Peter Sandborn,49986,University of Maryland College Park
217,Ron Knox,49986,University of Maryland College Park
218,Raphael Ponge,35000,Ohio State University Research Foundation -DO NOT USE
220,Valeria LaSaponara,200030,University of Utah
221,Rami HajAli,200030,University of Utah
222,Daniel Adams,200030,University of Utah
223,Faming Liang,90000,Texas A&M Research Foundation
224,Robert Anderson,86499,Columbia University
225,Linda Garro,12000,University of California-Los Angeles
226,Steven Low,556250,California Institute of Technology
227,Frank Rivera,396000,Maricopa County Community College District
228,Robert Huotari,396000,Maricopa County Community College District
229,Christian Miller,396000,Maricopa County Community College District
230,Junae Bitter,396000,Maricopa County Community College District
231,Paula Cheslik,396000,Maricopa County Community College District
232,Harvey Newman,1970000,California Institute of Technology
233,Paul Avery,1970000,California Institute of Technology
234,Alan Whitney,1970000,California Institute of Technology
235,Shawn McKee,1970000,California Institute of Technology
236,John Szivek,368297,University of Arizona
237,Suresh Subramaniam,147984,George Washington University
238,William Kath,233528,Northwestern University
239,David Stone,709433,University of Illinois at Chicago
240,Hongtao Yu,175239,Jackson State University
241,Paresh Ray,175239,Jackson State University
242,JohnWD Connolly,7363964,University of Kentucky Research Foundation
243,Barbara Kucera,7363964,University of Kentucky Research Foundation
244,Venkat Bhethanabotla,311994,University of South Florida
245,Rajan Sen,314514,University of South Florida
246,Arvind Raman,229900,Purdue University
247,Deane Yang,570147,Polytechnic University of New York
248,Jerome Epstein,419875,Polytechnic University of New York
249,Lukas Novotny,421845,University of Rochester
250,Wayne Wurtsbaugh,10939,Utah State University
252,Hisashi Koiwa,405999,Texas A&M Research Foundation
253,Wei Wang,563344,University of North Carolina at Chapel Hill
254,Michael Waters,11360,Texas A&M Research Foundation
255,John Gary,5000,University of California-Riverside
256,Benjamin Shen,8750,University of California-Riverside
257,Kenneth Barish,5000,University of California-Riverside
258,Henry Levy,450000,University of Washington
259,Steven Gribble,450000,University of Washington
260,Jinho Baik,117000,University of Michigan Ann Arbor
261,Jon McCammond,225034,University of California-Santa Barbara
262,Andreas Blass,58560,University of Michigan Ann Arbor
263,Edward Griffor,78080,University of Michigan Ann Arbor
264,Barbara Schneider,97993,University of Chicago
265,Mark Richards,283940,University of California-Berkeley
266,Michael Manga,640807,University of California-Berkeley
267,Catherine Oertel,200000,Cornell University
268,Fumiko Kawasaki,430000,Pennsylvania State Univ University Park
269,Vadim Levin,257827,Rutgers University New Brunswick
270,Salim Hariri,193756,University of Arizona
271,Manish Parashar,10000,University of Arizona
272,Tina Grotzer,1383472,Harvard University
273,John Kalivas,118800,Idaho State University
274,Peihua Qiu,89994,University of Minnesota-Twin Cities
275,Kenneth Bromberg,86693,University of Utah
277,Anand Tripathi,399966,University of Minnesota-Twin Cities
278,Cassandra Fraser,485000,University of Virginia Main Campus
280,Nancye Dawers,116151,Tulane University
281,Russell Dupuis,354835,Georgia Tech Research Corporation
282,Leslie Valiant,1108049,Harvard University
283,GinaAnne Levow,319500,University of Chicago
285,John Vetelino,474043,University of Maine
286,Bernard Matkowsky,108141,Northwestern University
287,Alexander Golovin,108141,Northwestern University
288,Regina Liu,84000,Rutgers University New Brunswick
292,Matthew LaForce,194927,San Francisco State University
293,Bruce Manning,194927,San Francisco State University
294,Andrew Ichimura,194927,San Francisco State University
295,Stephen Bollens,194927,San Francisco State University
296,Maurice Brookhart,475000,University of North Carolina at Chapel Hill
297,Joseph Templeton,475000,University of North Carolina at Chapel Hill
298,Patricia Culligan,357229,Columbia University
299,Phyllis Coley,172760,University of Utah
300,Dennis Kent,102056,Rutgers University New Brunswick
301,Robbert Creton,344239,Brown University
302,Theodore Morse,62709,Trustees of Boston University
305,John Rice,346000,University of California-Berkeley
306,Robert Lowry,86370,Iowa State University
307,Giacomo DiTullio,442095,College of Charleston
308,Stephen Okkonen,145747,University of Alaska Fairbanks Campus
309,Erwin Poliakoff,1200000,Louisiana State University & Agricultural and Mechanical College
310,Barry Dellinger,1200000,Louisiana State University & Agricultural and Mechanical College
311,Randall Hall,1200000,Louisiana State University & Agricultural and Mechanical College
312,Robin McCarley,1200000,Louisiana State University & Agricultural and Mechanical College
313,Mary Wornat,1200000,Louisiana State University & Agricultural and Mechanical College
314,Erik Asphaug,146402,University of California-Santa Cruz
315,Donald Korycansky,146402,University of California-Santa Cruz
316,Danielle Ford,2243932,University of Delaware
317,John Madsen,2617920,University of Delaware
318,Deborah Allen,2243932,University of Delaware
319,Steven Fifield,2243932,University of Delaware
320,Richard Donham,2243932,University of Delaware
321,Ernest Martinez,767000,University of California-Riverside
322,Paul Barber,104336,Trustees of Boston University
324,Andrew Wood,180256,Southern Illinois University at Carbondale
325,Luke Tolley,180256,Southern Illinois University at Carbondale
326,Jianjun Wang,180256,Southern Illinois University at Carbondale
327,Edward Heist,180256,Southern Illinois University at Carbondale
328,David Lightfoot,180256,Southern Illinois University at Carbondale
329,Daniel Lieberman,163954,Harvard University
330,Lori Thombs,20000,University of Missouri-Columbia
331,Zhuoqiong He,20000,University of Missouri-Columbia
332,Nancy Flournoy,20000,University of Missouri-Columbia
333,Christopher Wikle,270000,University of Missouri-Columbia
334,Dongchu Sun,20000,University of Missouri-Columbia
335,Robert Phillips,232544,University of Georgia Research Foundation Inc
337,Julian Schroeder,660000,University of California-San Diego
338,Cass Miller,196494,University of North Carolina at Chapel Hill
339,Matthew Farthing,196494,University of North Carolina at Chapel Hill
341,James Clark,567244,Duke University
342,Jennifer Curtis,74986,Purdue University
343,Rodney Fox,74986,Purdue University
344,Nicholas Gross,74630,Northeastern University
345,Marta Hersek,74630,Northeastern University
346,Arun Bansil,74630,Northeastern University
347,Derrick Dean,1500000,Tuskegee University
348,Pamela LeggettRobinson,1300000,Tuskegee University
349,Tamara FloydSmith,1300000,Tuskegee University
350,Lynden Archer,1300000,Tuskegee University
351,Donald Wink,2988043,Purdue University
352,Pratibha VarmaNelson,2988043,Purdue University
353,Robert Morris,2988043,Purdue University
354,Fred Lytle,2988043,Purdue University
355,Gabriela Weaver,3054708,Purdue University
356,Leon DicksonJr,352938,Howard University
357,Marilyn Irving,352938,Howard University
360,John Priscu,254827,Montana State University
361,Christine Foreman,254827,Montana State University
362,Thorsten Becker,22751,University of California-San Diego Scripps Inst of Oceanography
363,Zhigang Chen,181281,San Francisco State University
364,Chee Yap,240000,New York University
366,Ann Gates,304811,University of Texas at El Paso
367,Steven Roach,304811,University of Texas at El Paso
368,Elsa Villa,304811,University of Texas at El Paso
369,Eli Tziperman,244876,Harvard University
371,Ophir Frieder,281999,Illinois Institute of Technology
372,Nambury Raju,301764,Illinois Institute of Technology
373,David Grossman,281999,Illinois Institute of Technology
374,Roya Ayman,281999,Illinois Institute of Technology
375,Shlomo Argamon,325475,Illinois Institute of Technology
376,Nazli Goharian,281999,Illinois Institute of Technology
377,Aviv Nevo,171854,Northwestern University
378,Huaxiang Fu,233334,University of Arkansas
379,Rathinam Selvam,233334,University of Arkansas
380,Peter Pulay,233334,University of Arkansas
381,Amy Apon,306315,University of Arkansas
382,Russell Deaton,268369,University of Arkansas
383,Shana Goffredi,103620,California Institute of Technology
384,Lawrence Sayre,439248,Case Western Reserve University
385,Mary Barkley,439248,Case Western Reserve University
386,Miriam Simpson,418153,Case Western Reserve University
387,Clemens Burda,418153,Case Western Reserve University
388,Yoav Freund,500000,University of Tennessee Knoxville
389,William Gropp,500000,University of Tennessee Knoxville
390,David Keyes,500000,University of Tennessee Knoxville
391,Jack Dongarra,646770,University of Tennessee Knoxville
392,Victor Eijkhout,500000,University of Tennessee Knoxville
393,Bruce Ferguson,179630,Rose-Hulman Institute of Technology
394,David Voltmer,213628,Rose-Hulman Institute of Technology
395,Patricia Carlson,179630,Rose-Hulman Institute of Technology
396,Frederick Berry,179630,Rose-Hulman Institute of Technology
397,Gilead Tadmor,300000,Northeastern University
398,Miriam Leeser,300000,Northeastern University
399,Thomas Bianchi,177989,Tulane University
400,Thomas Rockwell,273492,San Diego State University Foundation
401,David Munson,274673,University of Michigan Ann Arbor
402,Adam Jones,388731,Texas A&M Research Foundation
403,Charles Jackson,650816,University of Texas at Austin
405,Clifford Konold,2800210,University of Massachusetts Amherst
406,Raul Curto,129843,University of Iowa
408,Lance Manuel,407246,University of Texas at Austin
409,Eric Baer,49539666,Case Western Reserve University
410,Anne Hiltner,37161000,Case Western Reserve University
411,Melanie Mormile,269252,Missouri University of Science and Technology
412,Francisca ObohIkuenobe,269252,Missouri University of Science and Technology
413,Heidi GoodrichBlair,201594,University of Wisconsin-Madison
415,Brad Murray,259841,Duke University
416,Dean Hougen,299997,University of Oklahoma Norman Campus
417,Andrew Fagg,299997,University of Oklahoma Norman Campus
418,Ethan Munson,53276,University of Wisconsin-Milwaukee
419,David Stewart,201224,Cold Spring Harbor Laboratory
420,David Jackson,102679,Cold Spring Harbor Laboratory
425,David Swanson,523184,Pennsylvania State Univ University Park
426,Sridhar Anandakrishnan,537879,Pennsylvania State Univ University Park
427,David Klotzkin,149999,University of Cincinnati Main Campus
428,FanChung Graham,798263,University of California-San Diego
429,Venkatramani Lakshmibai,108080,Northeastern University
430,James Rilling,294025,Emory University
431,Giuseppe Pagnoni,294025,Emory University
432,Samuel Buss,207000,University of California-San Diego
433,Rajeev Alur,153333,University of Pennsylvania
434,George Pappas,153333,University of Pennsylvania
435,Victor Busov,90000,Oregon State University
436,Steven Strauss,90000,Oregon State University
437,Amy Brunner,90000,Oregon State University
438,ShuHua Cheng,70000,Clemson University
439,Eugene Cordero,626830,San Jose State University Foundation
441,Denis Labutin,92000,University of California-Santa Barbara
442,Jorge Zornberg,471720,University of Texas at Austin
447,Thomas Szyperski,643316,SUNY at Buffalo
448,Emily Stone,98665,Utah State University
449,Donald Fiesinger,98665,Utah State University
450,Donna Francis,193098,University of Massachusetts Amherst
451,Raymond Bradley,618245,University of Massachusetts Amherst
452,Maria Varelas,1054088,University of Illinois at Chicago
453,Christine Pappas,1054088,University of Illinois at Chicago
454,Michal Kowalczyk,15000,Kent State University
457,Kevin Ashley,649810,University of Pittsburgh
458,Tangan Gao,95000,Michigan State University
459,TienYien Li,95000,Michigan State University
462,Jean LynchStieglitz,230415,Georgia Tech Research Corporation
463,Badri Nath,15000,Rutgers University New Brunswick
465,John Temple,183307,University of California-Davis
466,Allen Yi,264893,Ohio State University Research Foundation -DO NOT USE
467,Wu Lu,370893,Ohio State University Research Foundation -DO NOT USE
468,HeidiL Morgan,5461853,Florida International University
469,John Silvester,5402255,Florida International University
470,Julio Ibarra,5461853,Florida International University
471,Donald Cox,5402255,Florida International University
472,Brian DeMarco,548099,University of Illinois at Urbana-Champaign
473,Stephen Eick,237000,University of Illinois at Chicago
474,Ashfaq Khokhar,247000,University of Illinois at Chicago
475,Robert Grossman,2434356,University of Illinois at Chicago
476,MPinar Menguc,12600,Brigham Young University
477,Brent Webb,12600,Brigham Young University
480,JeenShang Lin,60000,University of Pittsburgh
481,Louise Comfort,60000,University of Pittsburgh
482,Milos Hauskrecht,60000,University of Pittsburgh
483,PatriciaJS Colberg,404259,University of Wyoming
484,Carrick Eggleston,404259,University of Wyoming
485,Srinivas Garimella,23975,Georgia Tech Research Corporation
486,Alper Buldum,191395,University of Akron
487,Liming Dai,100000,University of Akron
488,WeiMing Ni,183300,University of Minnesota-Twin Cities
489,Annelise Barron,2325000,University of Wisconsin-Madison
490,Qiang Cui,2325000,University of Wisconsin-Madison
491,Shannon Stahl,2325000,University of Wisconsin-Madison
492,Arun Yethiraj,2325000,University of Wisconsin-Madison
493,Samuel Gellman,4992780,University of Wisconsin-Madison
494,Timothy Killeen,508219682,University Corporation For Atmospheric Res
499,James Feathers,115043,University of Washington
500,Ian Anderson,177217,Utah State University
501,Andrew Binns,420000,University of Pennsylvania
502,JFrank Yates,135915,University of Michigan Ann Arbor
503,Suzanne Sandmeyer,535461,University of California-Irvine
504,Andrew Hunt,249999,Georgia Tech Research Corporation
505,C Wong,249999,Georgia Tech Research Corporation
506,Pierre Gremaud,212538,North Carolina State University
507,Richard Mayden,384382,Saint Louis University
508,Kiran Kedlaya,127400,Massachusetts Institute of Technology
510,Jian Ge,745530,University of Florida
511,Jonathan Bray,169767,University of California-Berkeley
512,Daniel Feldheim,526666,North Carolina State University
513,Bruce Eaton,395000,North Carolina State University
514,Lisa Donovan,243578,University of Georgia Research Foundation Inc
515,Terry Engelder,144212,Pennsylvania State Univ University Park
