id,name,money,institute
0,Ralph Hollis,531870,Carnegie-Mellon University
2,John Woods,414850,Rensselaer Polytechnic Institute
3,Koushik Kar,576253,Rensselaer Polytechnic Institute
4,Sergey Vyazovkin,420000,University of Alabama at Birmingham
6,Krishnakumar Garikipati,315000,University of Michigan Ann Arbor
7,Anton VanderVen,315000,University of Michigan Ann Arbor
8,Pogge Richard,466922,Ohio State University
9,Bradley Peterson,466922,Ohio State University
10,Mark Gross,20520,Carnegie-Mellon University
11,Vernon Asper,47033,University of Southern Mississippi
12,Arne Diercks,47033,University of Southern Mississippi
13,Frederick Conrad,705410,University of Michigan Ann Arbor
14,Martin Starzewski,200000,University of Illinois at Urbana-Champaign
15,Jingxian Wu,367734,University of Arkansas
16,Scott Smith,367734,University of Arkansas
17,Aaron Liston,384933,Oregon State University
18,Josep Torrellas,600000,Purdue University
19,Samuel Midkiff,600000,Purdue University
20,Alexandros Taflanidis,249433,University of Notre Dame
21,Radhakrishna Sureshkumar,737117,Syracuse University
22,Chloe Silverman,166286,Pennsylvania State Univ University Park
23,YunShik Lee,330000,Oregon State University
24,John Ewel,80324,University of Florida
25,Stephen Brookes,418742,Carnegie-Mellon University
28,Simone Pulver,253556,University of California-Santa Barbara
29,Robert Peattie,630507,Tufts University
30,Luis Dorfmann,733872,Tufts University
31,Fabio Bresolin,384113,University of Hawaii
32,RolfPeter Kudritzki,384113,University of Hawaii
33,BLee Roberts,10000,Trustees of Boston University
34,Karen Daniels,15500,North Carolina State University
35,Gabriel DosReis,136638,Texas A&M Engineering Experiment Station
36,Peter Gerhardstein,225583,SUNY at Binghamton
38,Robert Guralnick,220878,University of Southern California
39,Amelie Marian,302268,Rutgers University New Brunswick
40,Ozdal Boyraz,342569,University of California-Irvine
41,Filippo Capolino,342569,University of California-Irvine
42,Charles Isbell,150000,Georgia Tech Research Corporation
43,Cedric Stallworth,150000,Georgia Tech Research Corporation
45,Scott Socolofsky,281236,Texas A&M Engineering Experiment Station
52,Jenny Lo,421626,Virginia Polytechnic Institute and State University
53,Marie Paretti,611216,Virginia Polytechnic Institute and State University
54,Lisa McNair,869849,Virginia Polytechnic Institute and State University
55,Daniel Olson,10949,University of Texas at Austin
56,Almeida Toribio,10949,University of Texas at Austin
57,Marta OrtegaLlebaria,10949,University of Texas at Austin
58,Andras Vasy,551371,Stanford University
59,Nicholas Zabaras,85604,Cornell University
60,Kate Scholberg,13310,Duke University
61,Jason Box,296760,Ohio State University
62,Michael Bevis,673757,Ohio State University
63,Brad Murray,172748,Duke University
64,Xin Guo,200000,University of California-Berkeley
65,Sihong Wang,400000,CUNY City College
66,Stanley Brodsky,14986,University of Alabama Tuscaloosa
67,Tess Neal,14986,University of Alabama Tuscaloosa
68,Itay Neeman,1132569,University of California-Los Angeles
70,David Wood,234730,University of Delaware
71,BDavid Saunders,234730,University of Delaware
72,Jun Korenaga,84916,Yale University
73,Shrinivas Kulkarni,1044634,California Institute of Technology
77,James Hammerman,2907204,TERC Inc
78,Gerard Wong,490728,University of California-Los Angeles
79,Mark Daskin,206185,University of Michigan Ann Arbor
82,Thomas Sotirelis,469173,Johns Hopkins University
83,Patrick Newell,469173,Johns Hopkins University
84,Parimala Raman,170721,Emory University
