id,name,money,institute
0,Ludwig Bartels,370861,University of California-Riverside
1,Tony Heinz,370861,University of California-Riverside
4,Olena Mamykina,20000,Columbia University
5,Carol EspyWilson,234868,University of Maryland College Park
6,Kimberly Schneider,205558,University of Central Florida
7,CunHui Zhang,300000,Rutgers University New Brunswick
8,Larry Shepp,300000,Rutgers University New Brunswick
9,Laurie Butler,509336,University of Chicago
10,ChungSouk Han,364676,University of Wyoming
11,Daniel Siewiorek,195600,Carnegie-Mellon University
12,Shaikh Ahmed,252329,Southern Illinois University at Carbondale
13,Jessica Whiteside,127319,Brown University
14,LPeter Gromet,127319,Brown University
15,Mark Marten,274993,University of Maryland Baltimore County
16,Timothy Riley,175809,Cornell University
17,Roseanna Neupauer,256197,University of Colorado at Boulder
19,Santanu Dey,400000,Georgia Tech Research Corporation
20,Yekaterina Epshteyn,149581,University of Utah
22,Harold Cooper,512950,Purdue University
23,Octav Chipara,148893,University of Iowa
24,Samantha Forde,336911,University of California-Santa Cruz
25,ChiKeung Cheung,88117,Boston College
26,Lillie Albert,88117,Boston College
27,Pamela Bhatti,311999,Georgia Tech Research Corporation
28,Shanmugavelayu Muthukrishnan,782721,Rutgers University New Brunswick
29,Benjamin Kirtman,724404,University of Miami Rosenstiel School of Marine&Atmospheric Sci
30,Anna Gilbert,603762,University of Michigan Ann Arbor
31,Martin Strauss,613802,University of Michigan Ann Arbor
32,Philip Yu,495935,University of Illinois at Chicago
34,Nicole Lovenduski,453752,University of Colorado at Boulder
35,Dieter Isheim,299932,Northwestern University
36,Morris Fine,299932,Northwestern University
37,YipWah Chung,299932,Northwestern University
38,Semyon Vaynman,299932,Northwestern University
40,James Weygand,288831,University of California-Los Angeles
41,Shigang Chen,400000,University of Florida
42,JihKwon Peir,400000,University of Florida
43,Howard Fairbrother,611349,Johns Hopkins University
44,Michael Bevan,871466,Johns Hopkins University
45,Christopher Bauer,31322,University of New Hampshire
46,Andy Pereira,1611722,University of Arkansas
47,David Vorp,47500,University of Pittsburgh
48,Katherine Hankins,466666,Georgia State University Research Foundation, Inc.
49,Timothy Hawthorne,350000,Georgia State University Research Foundation, Inc.
51,William Seales,94301,University of Kentucky Research Foundation
53,Dian Zhou,175000,University of Texas at Dallas
54,Heejung Kim,450000,University of California-Santa Barbara
55,Shelley Taylor,450000,University of California-Santa Barbara
56,David Sherman,450000,University of California-Santa Barbara
57,Joseph Licciardi,250791,University of New Hampshire
60,IlseCF Ipsen,95000,North Carolina State University
61,Navin Kartik,287160,Columbia University
62,Kris Gutierrez,1500000,University of Colorado at Boulder
63,Alexander Repenning,1500000,University of Colorado at Boulder
64,David Webb,1500000,University of Colorado at Boulder
65,MAHDI ABUOMAR,426000,Purdue University
66,David Hysell,10000,Cornell University
67,Zhilin Li,25284,North Carolina State University
72,Wesley Highfield,345891,Texas A&M Research Foundation
73,Samuel Brody,345891,Texas A&M Research Foundation
74,Michael Lindell,368385,Texas A&M Research Foundation
75,Barbara Mills,3341,University of Arizona
76,Jessica CerezoRoman,3341,University of Arizona
77,Mohit Tawarmalani,400000,Purdue University
78,Sanjay Rao,400000,Purdue University
79,HRaghav Rao,30836,SUNY at Buffalo
81,David Stern,423501,University of California-Berkeley
82,Zizhong Chen,865956,Colorado School of Mines
83,George Kling,548544,University of Michigan Ann Arbor
84,Derek Richardson,6000,University of Maryland College Park
85,Wolfgang Losert,13500,University of Maryland College Park
86,Todd Leen,500000,Oregon Health and Science University
87,Deniz Erdogmus,500000,Oregon Health and Science University
88,Steven Kazmierczak,500000,Oregon Health and Science University
89,Qinglan Xia,114999,University of California-Davis
90,Alan Goldman,409500,Rutgers University New Brunswick
91,Karsten KroghJespersen,409500,Rutgers University New Brunswick
92,Huong Higgins,515918,Worcester Polytechnic Institute
93,Elke Rundensteiner,664897,Worcester Polytechnic Institute
94,Matthew Ward,515918,Worcester Polytechnic Institute
96,Jonathan Kujawa,132100,University of Oklahoma Norman Campus
97,Dionysios Foustoukos,211580,Carnegie Institution of Washington
100,Svetlana Roudenko,619623,George Washington University
101,SawWai Hla,1169325,Ohio University
102,Savas Kaya,1301325,Ohio University
103,Sunggyu Lee,1169325,Ohio University
104,Gerardine Botte,1169325,Ohio University
105,Paul VanPatten,1169325,Ohio University
106,Klaus Ruedenberg,587911,Iowa State University
107,Mark Gordon,587911,Iowa State University
108,Thomas Weldon,329517,University of North Carolina at Charlotte
109,Ryan Adams,329517,University of North Carolina at Charlotte
110,Kasra Daneshvar,329517,University of North Carolina at Charlotte
111,Craig Stewart,296637,Indiana University
112,Von Welch,307511,Indiana University
113,Eric Wernert,296637,Indiana University
114,Richard Knepper,296637,Indiana University
115,Sadaf Munshi,301726,University of North Texas
116,Shobhana Chelliah,301726,University of North Texas
117,Ayse Saygin,587350,University of California-San Diego
118,Stephen Duirk,308503,University of Akron
119,Susan Richardson,308503,University of Akron
120,Thomas Kolb,150000,Northern Arizona University
121,Monica Gaylord,150000,Northern Arizona University
122,Rich Hofstetter,150000,Northern Arizona University
123,George Koch,822981,Northern Arizona University
124,Diana Six,150000,Northern Arizona University
125,Petr Chaguine,852000,William Marsh Rice University
126,Michaela Huber,410425,University of Colorado at Boulder
127,Leaf VanBoven,410425,University of Colorado at Boulder
129,Walid Najjar,499940,University of California-Riverside
130,Vassilis Tsotras,499940,University of California-Riverside
131,Mohammad Hajiaghayi,200000,University of Maryland College Park
132,CheeWooi Ten,200000,Michigan Technological University
133,William Crampton,914750,University of Central Florida
134,Laurie Anderson,914750,University of Central Florida
135,William Goldman,1283280,University of Maryland College Park
136,Richard Wentworth,1283280,University of Maryland College Park
137,Anna Wienhard,1283280,University of Maryland College Park
141,Alice Agogino,16538,University of California-Berkeley
142,Marina Bers,1445395,Tufts University
145,Shari YvonLewis,299357,Texas A&M Research Foundation
146,John Kessler,299357,Texas A&M Research Foundation
147,Yan Bai,60092,University of Washington
148,Sefika Ozkan,607331,Arizona State University
149,Giovanna Ghirlanda,607331,Arizona State University
150,Ravishankar Palanivelu,576000,University of Arizona
151,Thomas Moher,549467,University of Illinois at Chicago
152,Tanya BergerWolf,587388,University of Illinois at Chicago
153,Leilah Lyons,602657,University of Illinois at Chicago
154,Joel Brown,549467,University of Illinois at Chicago
155,Brian Reiser,549467,University of Illinois at Chicago
156,Richard Thomas,216471,West Virginia University Research Corporation
157,James Clomburg,368397,William Marsh Rice University
158,Ramon Gonzalez,368397,William Marsh Rice University
159,Philippe Sucosky,400000,University of Notre Dame
160,Charles Eriksen,2120002,University of Washington
161,Takeshi Fukao,699999,University of California-Riverside
162,Cynthia Larive,819842,University of California-Riverside
163,Julia BaileySerres,699999,University of California-Riverside
164,Timothy White,98689,Pennsylvania State Univ University Park
165,Adam Wierman,400000,California Institute of Technology
166,Federico Echenique,400000,California Institute of Technology
167,TaiHsi Fan,397249,University of Connecticut
168,MuPing Nieh,397249,University of Connecticut
169,Yong Wang,397249,University of Connecticut
170,Jennifer Andrew,488223,University of Florida
171,Zhilei Chen,236188,Texas A&M Engineering Experiment Station
179,Chen Ding,386360,University of Rochester
180,Robert Grossman,3130158,University of Chicago
181,Jeffrey Habig,300000,Boise State University
