source,target
0,18
0,30
0,137
18,30
18,137
30,137
1,2
1,14
1,66
1,120
1,154
2,14
2,66
2,120
2,154
14,66
14,120
14,154
66,120
66,154
120,154
3,28
3,29
3,82
3,112
3,138
3,139
28,29
28,82
28,112
28,138
28,139
29,82
29,112
29,138
29,139
82,112
82,138
82,139
112,138
112,139
138,139
4,5
4,6
4,27
4,33
4,34
4,72
4,107
4,110
4,125
5,6
5,27
5,33
5,34
5,72
5,107
5,110
5,125
6,27
6,33
6,34
6,72
6,107
6,110
6,125
27,33
27,34
27,72
27,107
27,110
27,125
33,34
33,72
33,107
33,110
33,125
34,72
34,107
34,110
34,125
72,107
72,110
72,125
107,110
107,125
110,125
7,8
7,9
7,10
7,11
8,9
8,10
8,11
9,10
9,11
10,11
16,85
16,94
85,94
17,141
23,146
23,147
146,147
40,41
44,45
49,50
49,51
49,52
49,53
50,51
50,52
50,53
51,52
51,53
52,53
57,58
57,104
58,104
60,61
60,62
60,105
61,62
61,105
62,105
75,92
80,131
83,84
86,87
88,89
88,90
88,91
89,90
89,91
90,91
93,102
93,124
93,145
102,124
102,145
124,145
95,96
95,97
95,98
95,99
96,97
96,98
96,99
97,98
97,99
98,99
116,117
116,118
116,119
116,127
117,118
117,119
117,127
118,119
118,127
119,127
132,149
132,150
149,150
152,153
