source,target
0,7
0,126
0,322
0,323
0,324
0,335
0,336
0,349
0,351
0,429
0,430
0,433
0,539
0,540
0,571
0,824
0,1025
0,1127
0,1161
0,1210
0,1247
0,1412
0,1491
0,1515
0,1963
0,1998
0,2066
0,2121
0,2122
0,2346
0,2351
0,2441
0,2530
0,2570
0,2581
0,2726
0,2742
0,2840
0,2971
0,3043
0,3044
0,3045
0,3046
0,3173
0,3380
0,3397
0,3451
0,3635
0,3667
0,3693
0,3694
0,3702
0,3748
0,3784
0,3822
0,3885
0,3897
0,3954
0,4100
0,4192
0,4193
0,4291
0,4310
0,4347
0,4407
0,4461
0,4476
0,4527
0,4545
0,4609
0,4729
0,4895
0,4931
0,4966
0,5027
0,5042
0,5109
0,5155
0,5348
0,5681
0,5734
0,5735
0,5772
0,5885
0,6074
0,6085
0,6249
0,6368
0,6377
0,6378
0,6399
0,6533
0,7120
0,7320
0,7516
0,7889
0,7945
0,8021
0,8202
0,8221
0,8336
0,8337
0,8369
0,8423
0,8431
0,8689
0,8782
0,8869
0,8928
0,8967
0,9019
0,9076
0,9077
0,9088
0,9132
0,9133
0,9277
0,9325
0,9386
0,9784
0,9988
0,10215
0,10315
0,10458
0,10569
0,10570
0,10607
0,10608
0,10609
0,10685
0,10721
0,10732
0,10792
0,10793
0,10794
0,10834
0,10845
0,11042
0,11043
0,11059
0,11238
0,11313
0,11524
0,11697
0,11763
0,11785
0,11856
0,11989
0,12217
0,12218
0,12372
0,12501
0,12592
0,12594
0,12760
0,12874
0,12931
0,13121
0,13225
0,13226
7,126
7,322
7,323
7,324
7,335
7,336
7,349
7,351
7,429
7,430
7,433
7,539
7,540
7,571
7,824
7,1025
7,1127
7,1161
7,1210
7,1247
7,1412
7,1491
7,1515
7,1963
7,1998
7,2066
7,2121
7,2122
7,2346
7,2351
7,2441
7,2530
7,2570
7,2581
7,2726
7,2742
7,2840
7,2971
7,3043
7,3044
7,3045
7,3046
7,3173
7,3380
7,3397
7,3451
7,3635
7,3667
7,3693
7,3694
7,3702
7,3748
7,3784
7,3822
7,3885
7,3897
7,3954
7,4100
7,4192
7,4193
7,4291
7,4310
7,4347
7,4407
7,4461
7,4476
7,4527
7,4545
7,4609
7,4729
7,4895
7,4931
7,4966
7,5027
7,5042
7,5109
7,5155
7,5348
7,5681
7,5734
7,5735
7,5772
7,5885
7,6074
7,6085
7,6249
7,6368
7,6377
7,6378
7,6399
7,6533
7,7120
7,7320
7,7516
7,7889
7,7945
7,8021
7,8202
7,8221
7,8336
7,8337
7,8369
7,8423
7,8431
7,8689
7,8782
7,8869
7,8928
7,8967
7,9019
7,9076
7,9077
7,9088
7,9132
7,9133
7,9277
7,9325
7,9386
7,9784
7,9988
7,10215
7,10315
7,10458
7,10569
7,10570
7,10607
7,10608
7,10609
7,10685
7,10721
7,10732
7,10792
7,10793
7,10794
7,10834
7,10845
7,11042
7,11043
7,11059
7,11238
7,11313
7,11524
7,11697
7,11763
7,11785
7,11856
7,11989
7,12217
7,12218
7,12372
7,12501
7,12592
7,12594
7,12760
7,12874
7,12931
7,13121
7,13225
7,13226
126,322
126,323
126,324
126,335
126,336
126,349
126,351
126,429
126,430
126,433
126,539
126,540
126,571
126,824
126,1025
126,1127
126,1161
126,1210
126,1247
126,1412
126,1491
126,1515
126,1963
126,1998
126,2066
126,2121
126,2122
126,2346
126,2351
126,2441
126,2530
126,2570
126,2581
126,2726
126,2742
126,2840
126,2971
126,3043
126,3044
126,3045
126,3046
126,3173
126,3380
126,3397
126,3451
126,3635
126,3667
126,3693
126,3694
126,3702
126,3748
126,3784
126,3822
126,3885
126,3897
126,3954
126,4100
126,4192
126,4193
126,4291
126,4310
126,4347
126,4407
126,4461
126,4476
126,4527
126,4545
126,4609
126,4729
126,4895
126,4931
126,4966
126,5027
126,5042
126,5109
126,5155
126,5348
126,5681
126,5734
126,5735
126,5772
126,5885
126,6074
126,6085
126,6249
126,6368
126,6377
126,6378
126,6399
126,6533
126,7120
126,7320
126,7516
126,7889
126,7945
126,8021
126,8202
126,8221
126,8336
126,8337
126,8369
126,8423
126,8431
126,8689
126,8782
126,8869
126,8928
126,8967
126,9019
126,9076
126,9077
126,9088
126,9132
126,9133
126,9277
126,9325
126,9386
126,9784
126,9988
126,10215
126,10315
126,10458
126,10569
126,10570
126,10607
126,10608
126,10609
126,10685
126,10721
126,10732
126,10792
126,10793
126,10794
126,10834
126,10845
126,11042
126,11043
126,11059
126,11238
126,11313
126,11524
126,11697
126,11763
126,11785
126,11856
126,11989
126,12217
126,12218
126,12372
126,12501
126,12592
126,12594
126,12760
126,12874
126,12931
126,13121
126,13225
126,13226
322,323
322,324
322,335
322,336
322,349
322,351
322,429
322,430
322,433
322,539
322,540
322,571
322,824
322,1025
322,1127
322,1161
322,1210
322,1247
322,1412
322,1491
322,1515
322,1963
322,1998
322,2066
322,2121
322,2122
322,2346
322,2351
322,2441
322,2530
322,2570
322,2581
322,2726
322,2742
322,2840
322,2971
322,3043
322,3044
322,3045
322,3046
322,3173
322,3380
322,3397
322,3451
322,3635
322,3667
322,3693
322,3694
322,3702
322,3748
322,3784
322,3822
322,3885
322,3897
322,3954
322,4100
322,4192
322,4193
322,4291
322,4310
322,4347
322,4407
322,4461
322,4476
322,4527
322,4545
322,4609
322,4729
322,4895
322,4931
322,4966
322,5027
322,5042
322,5109
322,5155
322,5348
322,5681
322,5734
322,5735
322,5772
322,5885
322,6074
322,6085
322,6249
322,6368
322,6377
322,6378
322,6399
322,6533
322,7120
322,7320
322,7516
322,7889
322,7945
322,8021
322,8202
322,8221
322,8336
322,8337
322,8369
322,8423
322,8431
322,8689
322,8782
322,8869
322,8928
322,8967
322,9019
322,9076
322,9077
322,9088
322,9132
322,9133
322,9277
322,9325
322,9386
322,9784
322,9988
322,10215
322,10315
322,10458
322,10569
322,10570
322,10607
322,10608
322,10609
322,10685
322,10721
322,10732
322,10792
322,10793
322,10794
322,10834
322,10845
322,11042
322,11043
322,11059
322,11238
322,11313
322,11524
322,11697
322,11763
322,11785
322,11856
322,11989
322,12217
322,12218
322,12372
322,12501
322,12592
322,12594
322,12760
322,12874
322,12931
322,13121
322,13225
322,13226
323,324
323,335
323,336
323,349
323,351
323,429
323,430
323,433
323,539
323,540
323,571
323,824
323,1025
323,1127
323,1161
323,1210
323,1247
323,1412
323,1491
323,1515
323,1963
323,1998
323,2066
323,2121
323,2122
323,2346
323,2351
323,2441
323,2530
323,2570
323,2581
323,2726
323,2742
323,2840
323,2971
323,3043
323,3044
323,3045
323,3046
323,3173
323,3380
323,3397
323,3451
323,3635
323,3667
323,3693
323,3694
323,3702
323,3748
323,3784
323,3822
323,3885
323,3897
323,3954
323,4100
323,4192
323,4193
323,4291
323,4310
323,4347
323,4407
323,4461
323,4476
323,4527
323,4545
323,4609
323,4729
323,4895
323,4931
323,4966
323,5027
323,5042
323,5109
323,5155
323,5348
323,5681
323,5734
323,5735
323,5772
323,5885
323,6074
323,6085
323,6249
323,6368
323,6377
323,6378
323,6399
323,6533
323,7120
323,7320
323,7516
323,7889
323,7945
323,8021
323,8202
323,8221
323,8336
323,8337
323,8369
323,8423
323,8431
323,8689
323,8782
323,8869
323,8928
323,8967
323,9019
323,9076
323,9077
323,9088
323,9132
323,9133
323,9277
323,9325
323,9386
323,9784
323,9988
323,10215
323,10315
323,10458
323,10569
323,10570
323,10607
323,10608
323,10609
323,10685
323,10721
323,10732
323,10792
323,10793
323,10794
323,10834
323,10845
323,11042
323,11043
323,11059
323,11238
323,11313
323,11524
323,11697
323,11763
323,11785
323,11856
323,11989
323,12217
323,12218
323,12372
323,12501
323,12592
323,12594
323,12760
323,12874
323,12931
323,13121
323,13225
323,13226
324,335
324,336
324,349
324,351
324,429
324,430
324,433
324,539
324,540
324,571
324,824
324,1025
324,1127
324,1161
324,1210
324,1247
324,1412
324,1491
324,1515
324,1963
324,1998
324,2066
324,2121
324,2122
324,2346
324,2351
324,2441
324,2530
324,2570
324,2581
324,2726
324,2742
324,2840
324,2971
324,3043
324,3044
324,3045
324,3046
324,3173
324,3380
324,3397
324,3451
324,3635
324,3667
324,3693
324,3694
324,3702
324,3748
324,3784
324,3822
324,3885
324,3897
324,3954
324,4100
324,4192
324,4193
324,4291
324,4310
324,4347
324,4407
324,4461
324,4476
324,4527
324,4545
324,4609
324,4729
324,4895
324,4931
324,4966
324,5027
324,5042
324,5109
324,5155
324,5348
324,5681
324,5734
324,5735
324,5772
324,5885
324,6074
324,6085
324,6249
324,6368
324,6377
324,6378
324,6399
324,6533
