source,target
1,231
1,252
1,253
1,346
1,520
1,774
1,885
1,886
1,896
1,1357
1,1358
1,1365
1,1483
1,1587
1,2225
1,2226
1,2227
1,2247
1,2622
1,2741
1,2807
1,2808
1,2838
1,2839
1,2840
1,2841
1,2936
1,3301
1,3315
1,3316
1,3317
1,3318
1,3319
1,3416
1,3487
1,3513
1,3653
1,3787
1,4027
1,4028
1,4095
1,4142
1,4471
1,4472
1,4815
1,4892
1,4895
1,4896
1,4897
1,4903
1,4908
1,5022
1,5030
1,5031
1,5333
1,5334
1,5444
1,5463
1,6145
1,6164
1,6165
1,6460
1,6740
1,6826
1,6827
1,6828
1,6873
1,6874
1,6971
1,6972
1,7388
1,7429
1,7474
1,7485
1,7486
1,7487
1,7488
1,7592
1,7980
1,8316
1,8416
1,8545
1,8640
1,8841
1,8872
1,8997
1,9032
1,9165
1,9182
1,9187
1,9452
1,9662
1,9663
1,9872
1,9873
1,10197
1,10405
1,10406
231,252
231,253
231,346
231,520
231,774
231,885
231,886
231,896
231,1357
231,1358
231,1365
231,1483
231,1587
231,2225
231,2226
231,2227
231,2247
231,2622
231,2741
231,2807
231,2808
231,2838
231,2839
231,2840
231,2841
231,2936
231,3301
231,3315
231,3316
231,3317
231,3318
231,3319
231,3416
231,3487
231,3513
231,3653
231,3787
231,4027
231,4028
231,4095
231,4142
231,4471
231,4472
231,4815
231,4892
231,4895
231,4896
231,4897
231,4903
231,4908
231,5022
231,5030
231,5031
231,5333
231,5334
231,5444
231,5463
231,6145
231,6164
231,6165
231,6460
231,6740
231,6826
231,6827
231,6828
231,6873
231,6874
231,6971
231,6972
231,7388
231,7429
231,7474
231,7485
231,7486
231,7487
231,7488
231,7592
231,7980
231,8316
231,8416
231,8545
231,8640
231,8841
231,8872
231,8997
231,9032
231,9165
231,9182
231,9187
231,9452
231,9662
231,9663
231,9872
231,9873
231,10197
231,10405
231,10406
252,253
252,346
252,520
252,774
252,885
252,886
252,896
252,1357
252,1358
252,1365
252,1483
252,1587
252,2225
252,2226
252,2227
252,2247
252,2622
252,2741
252,2807
252,2808
252,2838
252,2839
252,2840
252,2841
252,2936
252,3301
252,3315
252,3316
252,3317
252,3318
252,3319
252,3416
252,3487
252,3513
252,3653
252,3787
252,4027
252,4028
252,4095
252,4142
252,4471
252,4472
252,4815
252,4892
252,4895
252,4896
252,4897
252,4903
252,4908
252,5022
252,5030
252,5031
252,5333
252,5334
252,5444
252,5463
252,6145
252,6164
252,6165
252,6460
252,6740
252,6826
252,6827
252,6828
252,6873
252,6874
252,6971
252,6972
252,7388
252,7429
252,7474
252,7485
252,7486
252,7487
252,7488
252,7592
252,7980
252,8316
252,8416
252,8545
252,8640
252,8841
252,8872
252,8997
252,9032
252,9165
252,9182
252,9187
252,9452
252,9662
252,9663
252,9872
252,9873
252,10197
252,10405
252,10406
253,346
253,520
253,774
253,885
253,886
253,896
253,1357
253,1358
253,1365
253,1483
253,1587
253,2225
253,2226
253,2227
253,2247
253,2622
253,2741
253,2807
253,2808
253,2838
253,2839
253,2840
253,2841
253,2936
253,3301
253,3315
253,3316
253,3317
253,3318
253,3319
253,3416
253,3487
253,3513
253,3653
253,3787
253,4027
253,4028
253,4095
253,4142
253,4471
253,4472
253,4815
253,4892
253,4895
253,4896
253,4897
253,4903
253,4908
253,5022
253,5030
253,5031
253,5333
253,5334
253,5444
253,5463
253,6145
253,6164
253,6165
253,6460
253,6740
253,6826
253,6827
253,6828
253,6873
253,6874
253,6971
253,6972
253,7388
253,7429
253,7474
253,7485
253,7486
253,7487
253,7488
253,7592
253,7980
253,8316
253,8416
253,8545
253,8640
253,8841
253,8872
253,8997
253,9032
253,9165
253,9182
253,9187
253,9452
253,9662
253,9663
253,9872
253,9873
253,10197
253,10405
253,10406
346,520
346,774
346,885
346,886
346,896
346,1357
346,1358
346,1365
346,1483
346,1587
346,2225
346,2226
346,2227
346,2247
346,2622
346,2741
346,2807
346,2808
346,2838
346,2839
346,2840
346,2841
346,2936
346,3301
346,3315
346,3316
346,3317
346,3318
346,3319
346,3416
346,3487
346,3513
346,3653
346,3787
346,4027
346,4028
346,4095
346,4142
346,4471
346,4472
346,4815
346,4892
346,4895
346,4896
346,4897
346,4903
346,4908
346,5022
346,5030
346,5031
346,5333
346,5334
346,5444
346,5463
346,6145
346,6164
346,6165
346,6460
346,6740
346,6826
346,6827
346,6828
346,6873
346,6874
346,6971
346,6972
346,7388
346,7429
346,7474
346,7485
346,7486
346,7487
346,7488
346,7592
346,7980
346,8316
346,8416
346,8545
346,8640
346,8841
346,8872
346,8997
346,9032
346,9165
346,9182
346,9187
346,9452
