id,name,money,institute
2,Okenwa Okoli,380000,Florida State University
3,Arda Vanli,673011,Florida State University
4,Andrew Meltzoff,503677,University of Washington
5,Dieter Fox,400000,University of Washington
6,Rajesh Rao,400000,University of Washington
7,Serge Nakhmanson,250000,University of Connecticut
8,Christos Takoudis,250000,University of Connecticut
9,Jay Klein,50000,Arizona State University
10,Gaurav Sukhatme,532252,University of Southern California
11,Matthew Walker,129259,Carnegie-Mellon University
12,Ron Mittler,720000,University of North Texas
13,Vladimir Shulaev,720000,University of North Texas
14,Rajeev Azad,720000,University of North Texas
15,Aaron Sakulich,445895,Worcester Polytechnic Institute
16,Sarma Vrudhula,451875,Arizona State University
17,Jerry Mitrovica,1092068,Harvard University
18,Jay Hollick,22240,Ohio State University
19,Michelle Schwalbe,1050002,National Academy of Sciences
20,Ricardo Zayas,660000,San Diego State University Foundation
21,Cindy Grimm,786131,Oregon State University
22,William Smart,339981,Oregon State University
23,John Stanton,399846,University of Texas at Austin
27,Delphis Levia,2000000,University of Delaware
28,Shreeram Inamdar,2000000,University of Delaware
29,Alan Andres,2000000,University of Delaware
30,Daniel Leathers,2000000,University of Delaware
31,Kent Messer,4506930,University of Delaware
32,Hajo Eicken,4680348,University of Alaska Fairbanks Campus
33,Brendan Kelly,3429372,University of Alaska Fairbanks Campus
34,Rayna Bell,20778,Cornell University
35,Jed Sparks,38132,Cornell University
36,Kelly Zamudio,27722,Cornell University
37,Robert McMahon,545000,University of Wisconsin-Madison
38,Juan Lucena,200843,Colorado School of Mines
39,Jessica Smith,200843,Colorado School of Mines
40,Nicole Baran,20274,Cornell University
41,Elizabeth AdkinsRegan,20274,Cornell University
46,Theodore Slaman,360000,University of California-Berkeley
47,Murtadha Khakoo,269997,California State University-Fullerton Foundation
48,James Zachos,103000,University of California-Santa Cruz
49,Ann Johnson,143138,University of South Carolina at Columbia
50,Fabio Matta,182726,University of South Carolina at Columbia
51,Alexander Lisyansky,299848,CUNY Queens College
52,Jane Collins,120039,University of Wisconsin-Madison
53,Annabel Ipsen,11995,University of Wisconsin-Madison
55,Bradley Pentelute,600000,Massachusetts Institute of Technology
57,Eric Donovan,341839,Trustees of Boston University
58,Michael Nicolls,341839,Trustees of Boston University
59,Joshua Semeter,341839,Trustees of Boston University
60,Vanessa Massaro,9623,Pennsylvania State Univ University Park
61,Melissa Wright,11456,Pennsylvania State Univ University Park
62,Raul Curto,193614,University of Iowa
63,Ebrahim Randeree,844825,Florida State University
64,Marcia Mardis,950428,Florida State University
65,David Bouvin,844825,Florida State University
66,James Froh,844825,Florida State University
