id,name,money,institute
0,MayBeth Givan,45000,William Marsh Rice University
1,Jeremy Taylor,2000,University of North Carolina at Wilmington
2,Robert Chien,167900,University of Illinois at Urbana-Champaign
3,Jack Rogers,37700,Washington State University
4,Jeremy Taylor,10068,Queens College
5,Leslie Sirkin,0,New York University
6,Jeremy Taylor,33600,University of Southern California
7,Richard Arrington,3100,Miles College
8,Richard Timmons,0,Catholic University of America
9, None,44614,California State University-Sacramento
10, None,286836,William Marsh Rice University
11,Albert Padwa,0,SUNY at Buffalo
12, None,29889,Hiram College
13,Michael Schneider,56853,Edinboro University of Pennsylvania
14, None,49580,DePaul University
15,Jeremy Taylor,123680,Exotech Systems Inc
16,Stuart Hibben,4807218,Library of Congress
17, None,308785,New Mexico State University
18,Robert Brown,118400,University of California-Berkeley
19,Jeremy Taylor,2000,Campbellsville University
20, None,50435,University of Missouri-Kansas City
21,JiaHsi Wu,19500,California State Polytechnic University-Pomona
22,Arthur Riggs,71300,City of Hope National Med Center
23, None,27854,Rhodes College
24,Max Lustig,0,Washington University
25,Kazimierz Luszczynski,0,Washington University
26,Alberto Mancinelli,0,University of Rochester
27, None,57573,North Carolina Agricultural & Technical State University
28,Robert Gregory,54300,Syracuse University
29, None,237343,University of Notre Dame
30, None,203207,SUNY at Buffalo
31, None,174611,University of Oklahoma Norman Campus
32,none DATANOTAVAILABLE,64000,Macmurray College
33, None,46048,Tennessee State University
34,Henry Imshaug,128200,Michigan State University
35,Jeremy Taylor,224969,National Academy of Engineering Commission on Education
36,Jeremy Taylor,15000,Black Hills State University
37,Arnold Arons,320300,University of Washington
38,Kenneth Rubin,0,CUNY City College
39,Joaquin Luttinger,0,Columbia University
40,Jeremy Taylor,13325,Cape Fear Community College
41,Erwin Chargaff,64000,Columbia University
42,Dominick Paolillo,32200,Cornell University
43,none DATANOTAVAILABLE,0,Ohio State University
44,MayBeth Givan,0,Travel Award
45,Norman Watkins,142500,University of Rhode Island
46,Jeremy Taylor,16600,Society For Industrial and Applied Math (SIAM)
47,Jeremy Taylor,155000,Naval Weapons Center Office of Naval Research
48,Donald Coates,112300,Ohio State University
49, None,355327,Pennsylvania State Univ University Park
50, None,36734,Pacific Oaks College
51, None,281581,George Washington University
52,John Sievers,45000,National Research Council
53, None,44780,Lincoln University
54,Bruce Berne,0,Columbia University
55, None,16769,Thiel College
56, None,21726,Rose-Hulman Institute of Technology
57,Lucien LeCam,0,University of California-Berkeley
58,Jeremy Taylor,0,University of Notre Dame
59,JohnMichael Boardman,40200,Johns Hopkins University
60, None,263773,Brown University
61,Gerald Clemence,0,Yale Southern Observatory, Inc.
62,James Dugundji,0,University of Southern California
63,Joseph Nibler,0,Oregon State University
64,Jeremy Taylor,2000,Cabrillo College
65,none DATANOTAVAILABLE,0,Kent State University
66,George Crowe,40056,Manhattan College
67, None,253990,University of Missouri-Columbia
68, None,366966,Michigan State University
