id,name,money,institute
1,George Veronis,120000,Woods Hole Oceanographic Institution
2,TNelson Caine,116364,University of Colorado at Boulder
3,William Krantz,116364,University of Colorado at Boulder
4,Thomas Broker,3000,Cold Spring Harbor Laboratory
6,None None,566800,University of Wisconsin-Madison
7,James McCammon,300000,University of Houston
8,None None,272500,University of California-San Diego
9,John Cannon,51000,Washington State University
10,David Huggins,500,Pennsylvania State Univ University Park
11,Thomas Lentz,310001,Yale University
12,Herman Carr,20500,Rutgers University New Brunswick
13,David Mount,156195,University of Arizona
14,Russell Church,81000,Brown University
15,David Stanbury,144000,William Marsh Rice University
16,Jeffrey Rogers,74200,Ohio State University
17,David Evans,222479,University of Rhode Island
18,None None,60560,University of Utah
19,James Duderstadt,70652,University of Michigan Ann Arbor
20,Richard Osborn,70652,University of Michigan Ann Arbor
21,Ziya Akcasu,70652,University of Michigan Ann Arbor
22,Robert Rosenfeld,277200,University of California-Davis
24,Arthur Nilson,211677,Cornell University
25,Robert Hargraves,461105,Princeton University
26,Steven Wesnousky,74993,Columbia University Lamont Doherty Earth Observatory
27,Lucile Jones,109993,Columbia University Lamont Doherty Earth Observatory
28,Christopher Scholz,209573,Columbia University Lamont Doherty Earth Observatory
29,Gerry Oxford,149411,University of North Carolina at Chapel Hill
32,Ronald Akers,48922,University of Florida
33,Lonn LanzaKaduce,48922,University of Florida
36,Rene Chevray,106850,Columbia University
37,William Moser,175861,Worcester Polytechnic Institute
40,William Jackson,10000,Howard University
41,Michael Posner,34960,University of Oregon Eugene
45,Henry Mautner,40000,Tufts University
47,Robert McGrath,52994,Pennsylvania State Univ University Park
48,Laurence Fredrick,217900,University of Virginia Main Campus
49,Philip Ianna,217900,University of Virginia Main Campus
50,Daniel Loucks,154684,Cornell University
51,Richard Wool,141800,University of Illinois at Urbana-Champaign
52,Alfred Traverse,192989,Pennsylvania State Univ University Park
53,Tangali Sudarshan,2000,University of South Carolina at Columbia
54,James Thompson,2000,University of South Carolina at Columbia
55,Nick Holonyak,195152,University of Illinois at Urbana-Champaign
56,None None,185300,Johns Hopkins University
57,William Duellman,95986,University of Kansas Main Campus
58,Antoine Naaman,161223,University of Michigan Ann Arbor
59,David Chipman,159280,Columbia University
60,Taro Takahashi,159280,Columbia University
61,Geoffrey Thompson,702185,Woods Hole Oceanographic Institution
63,Bennett McCallum,57689,National Bureau of Economic Research Inc
64,Stephen Gould,51200,Harvard University
65,Leonard Mirman,127842,University of Illinois at Urbana-Champaign
66,Daniel Oberlin,55450,Florida State University
67,Michael Cusanovich,75000,University of Arizona
68,Kenneth Brink,457039,Woods Hole Oceanographic Institution
69,Jack Silver,137700,University of California-Berkeley
70,Robert Vaught,137700,University of California-Berkeley
71,Carl Koval,168000,University of Colorado at Boulder
72,David Holloway,109553,University of Maryland College Park
73,KBruce Erickson,33538,University of Washington
74,Harvey Grill,58000,University of Pennsylvania
75,Victor Pan,77120,SUNY at Albany
76,John Fallon,110000,University of Wisconsin-Madison
78,Robert Lockhart,20746,University of Notre Dame
80,Harold Boas,42279,Columbia University
81,Robert Dymek,157477,Harvard University
82,Alan Stone,54991,University of Houston
83,Louis Billera,63568,Cornell University
84,David Heath,63568,Cornell University
85,Dusa McDuff,153000,SUNY at Stony Brook
86,Lowell Jones,153000,SUNY at Stony Brook
87,Houmin Chang,16180,North Carolina State University
88,Forman Williams,120235,Princeton University
90,Frank Loewus,68000,Washington State University
91,Noel Clark,326200,University of Colorado at Boulder
92,David Walba,239800,University of Colorado at Boulder
93,Robert Buxbaum,47952,Michigan State University
94,Joseph Boyd,81169,University of Cincinnati Main Campus
95,Lesley Julian,8500,University of Colorado at Boulder
96,Roger Barry,73167,University of Colorado at Boulder
97,Max Dresden,36480,SUNY at Stony Brook
