id,name,money,institute
0,Jeremy Taylor,10430,The University of Texas Rio Grande Valley
1,Richard Oliver,1518500,National Academy of Sciences
2,Jerrold Orne,156600,University of North Carolina at Chapel Hill
3,Jeremy Taylor,44250,Exotech Systems Inc
4,Jeremy Taylor,3500000,Case Western Reserve University
5,Jeremy Taylor,43815,Arctic Institute North America
6,Jeremy Taylor,477000,Library of Congress
7,George Woollard,52700,University of Hawaii
8,Hinrich Martens,46340,SUNY at Buffalo
9,Jeremy Taylor,14700,Ohio State University Research Foundation -DO NOT USE
10,MayBeth Givan,3755000,University of Colorado at Boulder
11,Jeremy Taylor,144000,Woods Hole Oceanographic Institution
12,Harry Ransom,6600000,University of Texas at Austin
13,William Petrie,570000,National Academy of Sciences
14,MayBeth Givan,0,Exotech Systems Inc
15,Jeremy Taylor,40000,Columbia University
16,Jeremy Taylor,20000,Naval Weapons Center Office of Naval Research
