source,target
0,73
0,188
0,228
0,229
0,233
0,307
0,408
0,430
0,431
0,435
0,508
0,522
0,526
0,559
0,639
0,640
0,644
0,699
0,714
0,761
0,772
0,774
0,816
0,818
0,842
0,843
0,945
0,946
0,1308
0,1468
0,1469
0,1478
0,1560
0,1579
0,1634
0,1652
0,1653
0,1867
0,2088
0,2217
0,2233
0,2244
0,2248
0,2592
0,2712
0,2746
0,2774
0,2804
0,2881
0,3079
0,3101
0,3126
0,3191
0,3204
0,3205
0,3223
0,3224
0,3244
0,3245
0,3362
0,3363
0,3448
0,3472
0,3503
0,3504
0,3544
0,3666
0,3667
0,3687
0,3758
0,3759
0,3960
0,3992
0,3993
0,4144
0,4146
0,4247
0,4412
0,4479
0,4568
0,4685
0,4772
0,4793
0,4904
0,5003
0,5030
0,5143
0,5191
0,5243
0,5244
0,5341
0,5416
0,5470
0,5525
0,5570
0,5892
0,5917
0,5938
0,6334
0,6376
0,6517
0,6702
0,6722
0,6736
0,6737
0,6801
0,6898
0,6915
0,7024
0,7041
0,7042
0,7230
0,7231
0,7244
0,7334
0,7420
0,7541
0,7562
0,7631
0,7741
0,7749
0,8204
0,8272
0,8273
0,8417
0,8450
0,8479
0,8610
0,8702
0,8715
0,8772
73,188
73,228
73,229
73,233
73,307
73,408
73,430
73,431
73,435
73,508
73,522
73,526
73,559
73,639
73,640
73,644
73,699
73,714
73,761
73,772
73,774
73,816
73,818
73,842
73,843
73,945
73,946
73,1308
73,1468
73,1469
73,1478
73,1560
73,1579
73,1634
73,1652
73,1653
73,1867
73,2088
73,2217
73,2233
73,2244
73,2248
73,2592
73,2712
73,2746
73,2774
73,2804
73,2881
73,3079
73,3101
73,3126
73,3191
73,3204
73,3205
73,3223
73,3224
73,3244
73,3245
73,3362
73,3363
73,3448
73,3472
73,3503
73,3504
73,3544
73,3666
73,3667
73,3687
73,3758
73,3759
73,3960
73,3992
73,3993
73,4144
73,4146
73,4247
73,4412
73,4479
73,4568
73,4685
73,4772
73,4793
73,4904
73,5003
73,5030
73,5143
73,5191
73,5243
