id,name,money,institute
1,Avijit Ghosh,19881,New York University
2,Richard Matula,17800,Louisiana State University & Agricultural and Mechanical College
3,Vic Cundy,17800,Louisiana State University & Agricultural and Mechanical College
4,Whitman Richards,539566,Massachusetts Institute of Technology
6,Donald Perkey,742000,Drexel University
7,Carl Kreitzberg,742000,Drexel University
8,Paul DowdDECEASED,157950,University of Pittsburgh
9,Robert Lewis,31472,University of Michigan Ann Arbor
13,Robert Rowlands,28097,University of Wisconsin-Madison
14,Terry Richard,28097,University of Wisconsin-Madison
15,Romesh Batra,22500,Missouri University of Science and Technology
17,Bruce Hudson,175171,University of Oregon Eugene
18,Anthony Bretscher,180000,Cornell University
19,Clifford Parks,80261,University of North Carolina at Chapel Hill
21,George Mulholland,24040,New Mexico State University
22,Larryl Matthews,24040,New Mexico State University
23,Narendra Gunaji,2800,Travel Award
24,Keinosuke Fukunaga,89262,Purdue University
26,William Streett,24900,Cornell University
27,Paul Ellis,200515,University of South Carolina at Columbia
28,Truman Bewley,47000,Yale University
29,Alan Meyer,55782,University of Wisconsin-Milwaukee
30,John Toole,22055,Woods Hole Oceanographic Institution
33,Subir Banerjee,175569,University of Minnesota-Twin Cities
34,John Pearce,20000,University of Texas at Austin
35,Stephen Shenker,631100,University of Chicago
36,Leo Kadanoff,631100,University of Chicago
37,Terrence Simon,150500,University of Minnesota-Twin Cities
38,LRO Storey,145000,Stanford University
39,Haim Bau,307382,University of Pennsylvania
40,Burton Litman,186000,University of Virginia Main Campus
41,Frank Millero,369032,University of Miami Rosenstiel School of Marine&Atmospheric Sci
42,William Burnett,185770,Florida State University
43,Irving Segal,153600,Massachusetts Institute of Technology
44,Robert Siegfried,6000,University of Wisconsin-Madison
45,Terry Christenson,64746,Tulane University
46,Jay Zemel,52000,University of Pennsylvania
47,Louis Hand,29279,Cornell University
49,Paul Zweifel,91952,Virginia Polytechnic Institute and State University
53,Robert Carr,13585,University of Minnesota-Twin Cities
54,Ellis Loew,11912,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
56,Alladi Venkatesh,294485,University of California-Irvine
57,Nicholas Vitalari,294485,University of California-Irvine
58,John Lee,39000,University of Georgia
59,T Treadwell,4479199,Texas A&M University Main Campus
60,Eric Friedlander,35000,Northwestern University
61,Leonard Evens,61975,Northwestern University
62,Stewart Priddy,35000,Northwestern University
63,Warren Burggren,275189,University of Massachusetts Amherst
64,Richard Firtel,23222,University of California-San Diego
65,Ronald Jones,73117,University of Rochester
66,MDeane Bowers,70000,Harvard University
67,Stephen Sass,10695,Cornell University
68,Hugh Hamill,2856,University of Connecticut
71,Gordon Jacoby,757300,Columbia University Lamont Doherty Earth Observatory
72,Edward Cook,240200,Columbia University Lamont Doherty Earth Observatory
74,David Yun,579582,Southern Methodist University
77,Fred Kulhawy,1168,Travel Award
78,Orrin Pilkey,168285,Duke University
79,Herbert Chen,120000,University of California-Irvine
80,FransB deWaal,83999,University of Wisconsin-Madison
81,Bernard Axelrod,116000,Purdue University
82,James Hafner,59600,Individual Award
83,Jean Filloux,360003,University of California-San Diego Scripps Inst of Oceanography
84,Raymon Glantz,189998,William Marsh Rice University
85,Eric Rosencrantz,45253,University of Texas at Austin
88,Andrew Chermak,11500,Kansas State University
89,Andrew Douglas,44398,Johns Hopkins University
90,John Bryan,186404,Syracuse University
91,John Corliss,79988,University of Maryland College Park
92,William Pryor,262500,Louisiana State University & Agricultural and Mechanical College
94,Catherine Fenselau,145000,Johns Hopkins University
95,Xavier Creary,150000,University of Notre Dame
96,Richard Statman,26557,Rutgers University New Brunswick
97,Vivian Weil,60856,Illinois Institute of Technology
98,John Snapper,60856,Illinois Institute of Technology
99,Wyn Laidig,108000,North Carolina State University
101,None None,18075,University of Iowa
102,Jack Cermak,2073,Travel Award
104,Jacob Schwartz,275750,New York University
105,Carl Jacobson,67818,Iowa State University
106,Harvey Blanch,185822,University of California-Berkeley
107,SungKee Chung,30000,Texas A&M University Main Campus
108,Harold Margolin,295100,Polytechnic University of New York
109,Said Nourbakhsh,295100,Polytechnic University of New York
110,Jacob Abel,38580,Individual Award
111,Dhirendra Sikdar,51666,University of Wisconsin-Milwaukee
112,George Avrunin,65300,University of Massachusetts Amherst
113,James Humphreys,65300,University of Massachusetts Amherst
115,George McMechan,110000,University of Texas at Dallas
116,Gerald DeJong,93613,University of Illinois at Urbana-Champaign
118,Lee Lauderback,72660,University of Colorado at Boulder
119,Henry Kuivila,389502,SUNY at Albany
122,CAusten Angell,650783,Purdue University
123,Edward Grant,0,Individual Award
124,Jeffrey Hoffstein,15950,University of Rochester
125,Andrzej Proskurowski,34637,University of Oregon Eugene
127,Eric Nelson,24400,Duke University
128,Richard Gaylord,106300,University of Illinois at Urbana-Champaign
129,John Meakin,13200,University of Nebraska-Lincoln
130,Fiorenzo Ugolini,448989,University of Washington
131,David Pritchard,447022,Massachusetts Institute of Technology
133,Arthur Fry,238500,University of Arkansas
134,Sue Binkley,258000,Temple University
135,Meinrat Andreae,276633,Florida State University
136,Richard Iverson,276633,Florida State University
137,LouChuang Lee,184600,University of Alaska Fairbanks Campus
138,George Shor,15426788,University of California-San Diego Scripps Inst of Oceanography
139,James Eden,175507,University of Illinois at Urbana-Champaign
140,N Kamble,2200,Travel Award
141,William Troy,31500,University of Pittsburgh
142,Elmar Reiter,275400,Colorado State University
143,Stephen Cox,56300,Colorado State University
144,Paul Debevec,11339274,University of Illinois at Urbana-Champaign
145,Lawrence Cardman,11339274,University of Illinois at Urbana-Champaign
146,Robert Eisenstein,11339274,University of Illinois at Urbana-Champaign
147,Jack Fell,601066,University of Miami Rosenstiel School of Marine&Atmospheric Sci
148,Charles Ostrom,36593,Michigan State University
149,George Hadjipanayis,133700,Kansas State University
150,Marta Kutas,254980,University of California-San Diego
151,Jon Ahlquist,70300,Florida State University
152,Timothy Cale,52400,Arizona State University
153,Dale Durran,109150,University of Utah
154,Peter Meserve,27652,Northern Illinois University
155,Neal Smatresk,99684,University of Texas at Arlington
156,Robert Constable,581649,Cornell University
157,None None,283400,University of Chicago
158,Kurt Gerstle,145000,University of Colorado at Boulder
159,Kaspar Willam,145000,University of Colorado at Boulder
160,Holger Jannasch,614989,Woods Hole Oceanographic Institution
161,Douglas Nelson,69998,Woods Hole Oceanographic Institution
