id,name,money,institute
0,Louis Chow,40000,University of Kentucky Research Foundation
1,Kozo Saito,40000,University of Kentucky Research Foundation
2,Scott Lidgard,61519,Field Museum of Natural History
3,Toshiko Ichiye,18000,Washington State University
4,Jeanne Altmann,4615,University of Chicago
5,Ulrich Oertel,42100,Rutgers University New Brunswick
6,Michael Hodgson,183987,University of Colorado at Boulder
9,GGlenn Lipscomb,94837,University of Cincinnati Main Campus
10,Richard Vitale,19890,University of Connecticut
11,PaulKitLai Yu,47658,University of California-San Diego
12,Thomas Morgan,132180,Wesleyan University
13,Lutz Huwel,116900,Wesleyan University
14,Joseph Knee,116900,Wesleyan University
15,Brian Stewart,116900,Wesleyan University
16,Dale Doering,116900,Wesleyan University
17,Andrew Gelman,75000,Individual Award
18,RJames Kirkpatrick,354284,University of Illinois at Urbana-Champaign
19,Dennis Peters,338696,Indiana University
20,Deirdre Mageean,11496,University of Maine
21,Steven Barkan,11496,University of Maine
22,Peter Sale,353001,University of New Hampshire
23,Jeremiah Ostriker,128753,Princeton University
24,Insup Lee,406738,University of Pennsylvania
25,Susan Davidson,406738,University of Pennsylvania
27,Stephane Lafortune,312500,University of Michigan Ann Arbor
28,Peddada Rao,28979,University of Maryland Baltimore County
29,Christian vonKerczek,28979,University of Maryland Baltimore County
30,None None,245700,Brown University
31,Edward Churchwell,269000,University of Wisconsin-Madison
32,Naveed Sherwani,37020,Western Michigan University
33,Ajay Gupta,37020,Western Michigan University
34,John Kapenga,84563,Western Michigan University
35,Alice Winn,32000,Florida State University
36,Thomas Miller,157000,Florida State University
37,Rick Danheiser,21000,Massachusetts Institute of Technology
38,Benjamin Friedlander,154524,University of California-Davis
40,Michael Gretz,285,George Mason University
41,Charles Goldman,94258,University of California-Davis
42,Peter Richerson,94258,University of California-Davis
43,Warren Wray,282871,Texas Tech University
44,James McDonald,32803,Texas Tech University
45,R Brashear,32803,Texas Tech University
46,Ralph Ramsey,32803,Texas Tech University
47,Kenneth Rainwater,32803,Texas Tech University
48,MalcolmD Forbes,32000,University of North Carolina at Chapel Hill
49,Jules Magda,139532,University of Utah
50,Marjorie Kandel,86635,SUNY at Stony Brook
51,Chirakkal Krishnan,86635,SUNY at Stony Brook
52,Mohammad Akhtar,86635,SUNY at Stony Brook
54,Teresa Adams,80000,University of Wisconsin-Madison
56,Dennis Dinger,6764,Clemson University
57,Alison Brooks,78131,George Washington University
58,Jack Moehle,1453826,University of California-Berkeley
59,Rebecca Dorsey,10600,Northern Arizona University
60,Werner Baer,3450,University of Illinois at Urbana-Champaign
61,Cassandra Fesen,168878,Dartmouth College
62,James Bramble,420000,Cornell University
67,Richard Harrison,11575,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
68,Nelson Young,11575,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
69,James Jirsa,268945,University of Texas at Austin
70,Ronald Poulson,11944,University of South Carolina at Columbia
71,Emily Klein,19449,Duke University
72,Vishnu Ranganathan,70582,Indiana University
73,David Cannatella,110000,University of Texas at Austin
74,Lawrence Hobbie,97406,Fellowships
77,John Rives,203000,University of Georgia Research Foundation Inc
78,William Dennis,203000,University of Georgia Research Foundation Inc
79,Richard Meltzer,203000,University of Georgia Research Foundation Inc
80,Michael Breed,40000,University of Colorado at Boulder
81,MDeane Bowers,40000,University of Colorado at Boulder
82,James White,37874,University of California-Los Angeles
83,Dan Frangopol,100000,University of Colorado at Boulder
84,John Pinto,101880,University of California-Riverside
85,Alberto Isidori,95277,Washington University
86,Christopher Byrnes,95277,Washington University
87,Marie Gelato,13308,SUNY at Stony Brook
88,Joshua Wurman,342000,University of Oklahoma Norman Campus
89,Tzvi GalChen,342000,University of Oklahoma Norman Campus
90,Howard Bluestein,523087,University of Oklahoma Norman Campus
91,Anabel Ford,39000,University of California-Santa Barbara
93,Ronald Hoy,34982,Cornell University
94,Bruce Johnson,34982,Cornell University
95,Don McBride,34982,Cornell University
96,Lonnie Thompson,109245,Ohio State University Research Foundation -DO NOT USE
97,Ellen MosleyThompson,109245,Ohio State University Research Foundation -DO NOT USE
98,Jose Ventura,343750,Pennsylvania State Univ University Park
99,Sanjay Joshi,80000,Pennsylvania State Univ University Park
100,Jean Pier,85000,Washington University
101,Frank Podosek,142500,Washington University
105,Terri Grodzicker,22192,Cold Spring Harbor Laboratory
106,Drew Schwartz,170000,Indiana University
108,Philip Shevlin,435700,Auburn University
109,Paul Strother,25000,Trustees of Boston University
110,Gilbert Rowe,21502,Texas A&M Research Foundation
111,James Klausner,76879,University of Florida
112,Chung Tang,300000,Cornell University
113,Kenneth KreutzDelgado,225258,University of California-San Diego
114,Mark Altabet,128026,Woods Hole Oceanographic Institution
115,Ruth Siegel,233062,Case Western Reserve University
116,Florencia Montagnini,12000,Yale University
117,Douglas Jones,12751,George Washington University
118,Jack Botts,15518,University of Missouri-Columbia
119,AhmedSherif ElGizawy,15518,University of Missouri-Columbia
120,George Wolf,21074,Missouri State University
121,Robert Patterson,21074,Missouri State University
