id,name,money,institute
0,none DATANOTAVAILABLE,28000,Boston College
1,Jane Westfall,20000,Boston College
2,John Bradbury,20000,Boston College
3,Jeremy Taylor,13600,New York Botanical Garden
4,Dorothy Gilford,2719969,National Academy of Sciences
5,Jeremy Taylor,18800,Smithsonian Institution
6,Jeremy Taylor,32600,Cazenovia College
7,Nelson Grisamore,216800,National Academy of Sciences
8,Jeremy Taylor,10000,University of Illinois at Urbana-Champaign
9,John Lounsbury,88496,Association of American Geographers
10,Frank Wardlaw,110500,University of Texas at Austin
11,none DATANOTAVAILABLE,2000400,Courtesy Travel Service
12,Jane Marilley,1667000,Courtesy Travel Service
13,George Wood,1667000,Courtesy Travel Service
14,John Bradbury,1667000,Courtesy Travel Service
15,none DATANOTAVAILABLE,715932,McDonnell Douglas Astronautics Company
16,Christina Maslach,596610,McDonnell Douglas Astronautics Company
17,George Wood,596610,McDonnell Douglas Astronautics Company
18,John Bradbury,596610,McDonnell Douglas Astronautics Company
