source,target
0,10
3,597
5,98
5,99
5,195
5,594
5,608
5,626
5,664
5,665
98,99
98,195
98,594
98,608
98,626
98,664
98,665
99,195
99,594
99,608
99,626
99,664
99,665
195,594
195,608
195,626
195,664
195,665
594,608
594,626
594,664
594,665
608,626
608,664
608,665
626,664
626,665
664,665
6,62
6,157
6,726
62,157
62,726
157,726
8,238
11,30
11,96
11,311
11,595
11,730
11,731
11,732
11,733
11,734
30,96
30,311
30,595
30,730
30,731
30,732
30,733
30,734
96,311
96,595
96,730
96,731
96,732
96,733
96,734
311,595
311,730
311,731
311,732
311,733
311,734
595,730
595,731
595,732
595,733
595,734
730,731
730,732
730,733
730,734
731,732
731,733
731,734
732,733
732,734
733,734
18,57
18,110
18,166
18,167
18,172
18,382
18,383
18,448
18,662
18,770
57,110
57,166
57,167
57,172
57,382
57,383
57,448
57,662
57,770
110,166
110,167
110,172
110,382
110,383
110,448
110,662
110,770
166,167
166,172
166,382
166,383
166,448
166,662
166,770
167,172
167,382
167,383
167,448
167,662
167,770
172,382
172,383
172,448
172,662
172,770
382,383
382,448
382,662
382,770
383,448
383,662
383,770
448,662
448,770
662,770
21,290
21,578
290,578
24,25
24,169
24,180
24,345
24,347
24,379
25,169
25,180
25,345
25,347
25,379
169,180
169,345
169,347
169,379
180,345
180,347
180,379
345,347
345,379
347,379
26,193
26,506
26,561
193,506
193,561
506,561
28,278
28,279
28,280
28,281
28,282
28,309
28,581
28,588
278,279
278,280
278,281
278,282
278,309
278,581
278,588
279,280
279,281
279,282
279,309
279,581
279,588
280,281
280,282
280,309
280,581
280,588
281,282
281,309
281,581
281,588
282,309
282,581
282,588
309,581
309,588
581,588
29,58
29,118
29,119
58,118
58,119
118,119
34,68
34,521
34,566
34,766
68,521
68,566
68,766
521,566
521,766
566,766
37,203
37,283
37,284
37,373
37,586
37,614
37,615
37,616
37,617
37,618
203,283
203,284
203,373
203,586
203,614
203,615
203,616
203,617
203,618
283,284
283,373
283,586
283,614
283,615
283,616
283,617
283,618
284,373
284,586
284,614
284,615
284,616
284,617
284,618
373,586
373,614
373,615
373,616
373,617
373,618
586,614
586,615
586,616
586,617
586,618
614,615
614,616
614,617
614,618
615,616
615,617
615,618
616,617
616,618
617,618
38,83
38,229
38,230
38,580
38,584
83,229
83,230
83,580
83,584
229,230
229,580
229,584
230,580
230,584
580,584
39,41
39,54
39,109
39,212
39,256
39,393
39,394
39,403
39,422
39,632
39,648
39,649
41,54
41,109
41,212
41,256
41,393
41,394
41,403
41,422
41,632
41,648
41,649
54,109
54,212
54,256
54,393
54,394
54,403
54,422
54,632
54,648
54,649
109,212
109,256
109,393
109,394
109,403
109,422
109,632
109,648
109,649
212,256
212,393
212,394
212,403
212,422
212,632
212,648
212,649
256,393
256,394
256,403
256,422
256,632
256,648
256,649
393,394
393,403
393,422
393,632
393,648
393,649
394,403
394,422
394,632
394,648
394,649
403,422
403,632
403,648
403,649
422,632
422,648
422,649
632,648
632,649
648,649
42,103
42,740
42,769
103,740
103,769
740,769
43,48
43,94
43,184
43,411
43,473
43,474
43,538
43,573
43,704
43,728
43,748
48,94
48,184
48,411
48,473
48,474
48,538
48,573
48,704
48,728
48,748
94,184
94,411
94,473
94,474
94,538
94,573
94,704
94,728
94,748
184,411
184,473
184,474
184,538
184,573
184,704
184,728
184,748
411,473
411,474
411,538
411,573
411,704
411,728
411,748
473,474
473,538
473,573
473,704
473,728
473,748
474,538
474,573
474,704
474,728
474,748
538,573
538,704
538,728
538,748
573,704
573,728
573,748
704,728
704,748
728,748
44,197
44,211
44,390
44,425
44,523
44,598
44,658
197,211
197,390
197,425
197,523
197,598
197,658
211,390
211,425
211,523
211,598
211,658
390,425
390,523
390,598
390,658
425,523
425,598
425,658
523,598
523,658
598,658
45,612
49,546
49,634
49,690
49,713
546,634
546,690
546,713
634,690
634,713
