id,name,money,institute
0,Behnaam Aazhang,68462,William Marsh Rice University
2,Robert Kay,179000,Cornell University
3,Suzanne Kay,179000,Cornell University
4,Edward Trujillo,80763,University of Utah
5,David Hardt,330575,Massachusetts Institute of Technology
6,Heinz Koch,192300,Ithaca College
7,James Rowings,42000,Iowa State University
8,Michael Kaufman,302813,Michigan State University
9,Michael Klug,1141734,Michigan State University
10,Jon Jacklet,128060,SUNY at Albany
11,George Georghiou,13855,University of California-Riverside
12,Augustus Oemler,274194,Carnegie Institution of Washington
13,Stephen Shectman,274194,Carnegie Institution of Washington
14,Robert Kirshner,274194,Carnegie Institution of Washington
15,Paul Schechter,301394,Carnegie Institution of Washington
16,Colin Izzard,237422,SUNY at Albany
17,Sally Izzard,237422,SUNY at Albany
18,Diane Stoecker,272658,Woods Hole Oceanographic Institution
19,Daniel Lev,25929,University of Washington
21,Igor Reider,27400,University of Oklahoma Norman Campus
22,Timothy Schowalter,49995,Oregon State University
23,John Lattin,49995,Oregon State University
24,Steve Carpenter,49995,Oregon State University
25,Rick Kelsey,49995,Oregon State University
26,Elaine Ingham,96734,Oregon State University
27,Alan Levander,56997,William Marsh Rice University
28,Rishi Raj,49983,Cornell University
29,Francis Moon,139983,Cornell University
30,Robert Wilhelmson,929500,University of Illinois at Urbana-Champaign
31,Denis Gray,38173,North Carolina State University
33,Robert Gallimore,185800,University of Wisconsin-Madison
34,David Houghton,185800,University of Wisconsin-Madison
36,Albert Yee,727568,University of Michigan Ann Arbor
39,Michael Woodford,52583,University of Chicago
40,Jayant Shah,71187,Northeastern University
41,TDouglas Price,401036,University of Wisconsin-Madison
43,Emory Kemp,9000,West Virginia University
44,CRobin Graham,50435,University of Washington
45,William Nix,217600,Stanford University
46,Edward Manier,9000,University of Notre Dame
47,Ronald Wood,20000,Emory University
48,Peter Day,20000,Emory University
49,None None,18300,University of Wisconsin-Milwaukee
51,Susan Suarez,43500,University of California-Davis
53,Joseph Chamberlain,193700,William Marsh Rice University
54,None None,35400,Louisiana State University & Agricultural and Mechanical College
55,Michael Barcelona,1500,University of Illinois at Urbana-Champaign
56,Daniel Gorenstein,12000,Rutgers University New Brunswick
57,Richard Lyons,12000,Rutgers University New Brunswick
58,Robert Duncan,147146,Oregon State University
59,Alex Pentland,171694,Massachusetts Institute of Technology
60,Lori Clarke,1729966,University of Massachusetts Amherst
61,Jack Wileden,1729966,University of Massachusetts Amherst
62,Jacqueline Barber,422254,University of California-Berkeley
63,Kenneth Wilson,364094,Cornell University
64,David Grusky,31334,University of Chicago
68,Tschangho Kim,104582,University of Illinois at Urbana-Champaign
70,Ganesar Chanmugam,64300,Louisiana State University & Agricultural and Mechanical College
71,Mahendra Singh,84411,Virginia Polytechnic Institute and State University
72,James Demmel,1191400,New York University
73,Ronald DeVore,6000,University of South Carolina at Columbia
74,Richard Lutz,138979,Rutgers University New Brunswick
75,David Spooner,156000,Rensselaer Polytechnic Institute
76,Martin Hardwick,156000,Rensselaer Polytechnic Institute
77,Mark Shephard,238333,Rensselaer Polytechnic Institute
78,Joseph Flaherty,156000,Rensselaer Polytechnic Institute
79,C Liu,283264,University of Illinois at Urbana-Champaign
80,Frederick Bates,36856,University of Georgia Research Foundation Inc
81,Leonard Kaczmarek,17110,Yale University
83,Susan Stafford,221515,Oregon State University
84,Jim Hoste,13420,Oregon State University
86,Paul Fife,71447,University of Arizona
87,Beth Adelson,100744,Tufts University
88,Robert Griffiths,233699,Oregon State University
89,Kermit Cromack,233699,Oregon State University
90,Bruce Caldwell,233699,Oregon State University
91,Michael Castellano,233699,Oregon State University
92,Christos Papadimitriou,97906,Stanford University
93,Jechiel Jagoda,66660,Ohio State University
94,David Orin,66660,Ohio State University
95,Charles Klein,66660,Ohio State University
96,Fusun Ozguner,66660,Ohio State University
97,George Hill,4980000,Meharry Medical College
98,Nicholas Walker,79972,University of Texas at Austin
99,Mark Helper,79972,University of Texas at Austin
100,Fred McDowell,179805,University of Texas at Austin
101,Andrew Sommese,60200,University of Notre Dame
102,Choon Tan,0,Massachusetts Institute of Technology
103,James Faller,140173,University of Colorado at Boulder
104,Peter Bender,236497,University of Colorado at Boulder
105,Robin Stebbins,140173,University of Colorado at Boulder
106,Rahmatallah Shoureshi,275391,Purdue Research Foundation
107,Richard Walker,275391,Purdue Research Foundation
108,Charles Glashausser,10250,Rutgers University New Brunswick
109,Ralph Greif,124695,University of California-Berkeley
110,Isaac Efrat,35271,Columbia University
111,Richard Carlton,131581,Michigan State University
112,James Kinter,245917,University of Maryland College Park
113,Edwin Schneider,245917,University of Maryland College Park
114,Ruey Tsay,43757,Carnegie-Mellon University
115,Lawrence Aller,60000,University of California-Los Angeles
116,Ethel Tobach,23742,University of Puerto Rico Medical Sciences Campus
117,Bernadette Marriott,23742,University of Puerto Rico Medical Sciences Campus
118,Edith Taylor,74070,Ohio State University
119,Bernard Coleman,52506,Carnegie-Mellon University
120,David Owen,52506,Carnegie-Mellon University
121,Bernard Hallet,162164,University of Washington
122,George Lusztig,339950,Massachusetts Institute of Technology
123,Michael Dungan,35700,Southern Methodist University
125,Manjusri Das,269442,University of Pennsylvania
126,Franz Matschinsky,269442,University of Pennsylvania
127,Stephen Stigler,57000,University of Chicago
128,Henry Walker,97530,Stanford University
129,Morris Zelditch,97530,Stanford University
132,Emilie Rissman,198702,University of Virginia Main Campus
135,Mark CroninGolomb,30000,Tufts University
136,Avner Ash,35200,Ohio State University Research Foundation -DO NOT USE
137,Donald Ginsberg,240580,University of Illinois at Urbana-Champaign
138,Jeffrey Ullman,652773,Stanford University
139,David Nitzan,446949,SRI International
140,Cregg Cowan,446949,SRI International
142,Alfred Bortz,50846,Carnegie-Mellon University
143,PBuford Price,316000,University of California-Berkeley
144,William Klemperer,189420,Harvard University
146,Ward Whaling,70800,California Institute of Technology
147,Leonard Shaw,59936,Polytechnic University of New York
148,Spencer Kuo,100936,Polytechnic University of New York
149,Colleen Cavanaugh,309426,Harvard University
150,Joseph Siebenaller,114398,Louisiana State University & Agricultural and Mechanical College
151,Bruce Molnia,20000,National Academy of Sciences
152,David Cline,9900,University of California-Los Angeles
153,Hermann Haus,350736,Massachusetts Institute of Technology
154,Jonathan Jones,48537,DNA Plant Technologies, Inc.
155,Hugo Dooner,48537,DNA Plant Technologies, Inc.
156,Kenneth Kleene,259260,University of Massachusetts Boston
157,Michael Smithonleave,77545,University of Hawaii
158,Martin Wybourne,285748,University of Oregon Eugene
159,Peter Bryant,347000,University of California-Irvine
160,Grahame Bennett,34400,Indiana University
161,Walter Murray,319447,Stanford University
163,John Cacioppo,115776,University of Iowa
167,WDale Brownawell,386100,Pennsylvania State Univ University Park
168,George Andrews,386100,Pennsylvania State Univ University Park
169,John Rust,79697,University of Wisconsin-Madison
171,Yacov Haimes,30000,Case Western Reserve University
173,Wendell Roelofs,309598,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
174,Douglas Knipple,309598,Cornell Univ - State: AWDS MADE PRIOR MAY 2010
175,Lawrence Berliner,53150,Ohio State University
176,Wallace Oates,135604,University of Maryland College Park
177,Robert Schwab,135604,University of Maryland College Park
178,Jacob Leventhal,16750,University of Missouri-Saint Louis
179,Anna Nagurney,0,University of Massachusetts Amherst
180,Margaret Schoeninger,293713,University of Wisconsin-Madison
181,William Waterhouse,74400,Pennsylvania State Univ University Park
182,LNeil Frazer,100000,University of Hawaii
184,Stephen Grossberg,509663,Trustees of Boston University
185,Jon Postel,25974,University of Southern California
186,Danny Cohen,25974,University of Southern California
187,Herbert Clark,349713,Stanford University
188,DPaul Rillema,33993,University of North Carolina at Charlotte
189,Diane Meuser,41800,Trustees of Boston University
190,Edward Blum,66424,University of Southern California
191,Richard Sanders,27000,University of Houston
195,Steven Lentz,2298645,Woods Hole Oceanographic Institution
196,Robert Beardsley,2800039,Woods Hole Oceanographic Institution
197,Richard Limeburner,2298645,Woods Hole Oceanographic Institution
198,Bruce Douglas,56673,Board of Regents, NSHE, obo University of Nevada, Reno
200,Terry Forbes,112200,University of New Hampshire
201,Steven Gould,163700,Oregon State University
202,Robert Baldwin,35000,Colorado School of Mines
203,Ronald Miller,30000,Colorado School of Mines
204,H Thompson,105336,Purdue Research Foundation
205,Lyle Albright,80040,Purdue Research Foundation
207,Wayne Ford,1802000,Montana State University
208,James Anderson,1802000,Montana State University
209,John Hermanson,1802000,Montana State University
210,Gerald Lapeyre,1802000,Montana State University
211,Eric Hood,1802000,Montana State University
212,Alexander Cruickshank,172200,Gordon Research Conferences
213,Deborah Estrin,312000,University of Southern California
214,Jacques Cremer,54094,Virginia Polytechnic Institute and State University
215,Paul Horn,46461,University of Cincinnati Main Campus
216,Val Nolan,230126,Indiana University
217,Ellen Ketterson,230126,Indiana University
218,Eric Barron,156000,Pennsylvania State Univ University Park
219,K Klewin,79000,Northern Illinois University
220,Jonathan Berg,79000,Northern Illinois University
222,Paul Baker,188610,Duke University
223,Arthur LernerLam,30548,Columbia University Lamont Doherty Earth Observatory
224,Giles Auchmuty,45200,University of Houston
225,Samuel Barnes,9154,University of Michigan Ann Arbor
226,Orson Anderson,39999,University of California-Los Angeles
227,Paul Wang,252836,Kent State University
228,James Cangelosi,492194,Utah State University
229,Alan Smith,365506,University of California-Berkeley
230,Eric Becklin,75000,University of Hawaii
231,DonaldNB Hall,75000,University of Hawaii
232,Kristen Sellgren,75000,University of Hawaii
233,Jennifer Wolch,96229,University of Southern California
234,Michael Smyth,5170,University of New Mexico
235,Gair Tourtellot,5170,University of New Mexico
236,Leo Riedinger,10700,University of Tennessee Knoxville
238,Robert Nerem,2100,Georgia Tech Research Corporation
239,Catherine Page,233056,University of Oregon Eugene
241,Rudolf Raff,10000,Indiana University
242,Jerry Hudgins,63000,University of South Carolina at Columbia
243,Tangali Sudarshan,63000,University of South Carolina at Columbia
244,Roger Dougal,63000,University of South Carolina at Columbia
245,Stephen Palmer,125000,University of California-Berkeley
246,Daniel Tylavsky,275324,Arizona State University
247,John Darley,159558,Princeton University
248,Shamkant Navathe,111156,University of Florida
249,Phillip Doerr,160999,North Carolina State University
250,Jeffrey Walters,160999,North Carolina State University
251,Hans Kamp,156000,University of Texas at Austin
252,Carlota Smith,156000,University of Texas at Austin
253,Daniel Bonevac,156000,University of Texas at Austin
254,Robert Koons,156000,University of Texas at Austin
255,Nicholas Asher,156000,University of Texas at Austin
256,Norma Fowler,242867,University of Texas at Austin
260,Frederick Nelson,54570,Rutgers University New Brunswick
261,Samuel Outcalt,25000,Rutgers University New Brunswick
262,John Barker,268200,University of Michigan Ann Arbor
263,Charles Nelson,128047,University of Florida
264,Thomas Frost,50000,University of Wisconsin-Madison
265,John Magnuson,50000,University of Wisconsin-Madison
266,Steven Chapra,40982,University of Colorado at Boulder
267,Tissa Illangasekare,40982,University of Colorado at Boulder
268,Ernest Flack,40982,University of Colorado at Boulder
269,JoAnn Silverstein,40982,University of Colorado at Boulder
270,George Shor,17414434,University of California-San Diego Scripps Inst of Oceanography
272,Daniel Popper,60000,University of California-Los Angeles
273,Juhn Liou,119500,Stanford University
274,Dennis Bird,119500,Stanford University
275,W Carlson,69995,University of Virginia Main Campus
276,Philip Brooks,300110,William Marsh Rice University
277,Robert Curl,300110,William Marsh Rice University
280,Warren White,391056,University of California-San Diego Scripps Inst of Oceanography
281,Philip Vulliet,178800,University of California-Davis
282,John Kearns,121176,College of William and Mary
283,Brian Hazlett,69049,University of Michigan Ann Arbor
284,Robert Fogel,69049,University of Michigan Ann Arbor
285,James Teeri,69049,University of Michigan Ann Arbor
287,John Casey,174468,University of Houston
288,David Marshall,179700,Utah State University
289,Dean Jacobson,24738,Fellowships
290,Irwin Shapiro,603100,Harvard University
291,Linda Graham,107000,University of Wisconsin-Madison
292,Patrice Morrow,253290,University of Minnesota-Twin Cities
293,Charles Goochee,356001,University of Houston
294,Michael Crow,356001,University of Houston
296,Jeffrey Banks,79264,University of Rochester
297,David AustenSmith,79264,University of Rochester
298,John Ross,176000,Stanford University
299,Keith Hodgson,200010,Stanford University
300,RCengiz Ertekin,57365,University of Hawaii
301,John Kirsch,22995,University of Wisconsin-Madison
302,John Lee,33631,University of Washington
303,David Harwood,52315,Ohio State University Research Foundation -DO NOT USE
304,David Elliot,154640,Ohio State University Research Foundation -DO NOT USE
305,Thomas Jones,122932,University of Minnesota-Twin Cities
307,Roy Herrenkohl,18490,Lehigh University
308,Semion Gutman,4000,University of Oklahoma Norman Campus
309,Sarah Rajala,35000,North Carolina State University
310,Henry Trussell,35000,North Carolina State University
311,JeffK Fang,60000,University of Illinois at Chicago
313,Horia Metiu,306950,University of California-Santa Barbara
316,None None,405020,Johns Hopkins University
318,William Spindel,25000,National Research Council
319,Andrew Bass,218881,Cornell University
320,Joseph Prospero,240000,University of Miami
321,Eric Saltzman,240000,University of Miami
322,John Plane,240000,University of Miami
323,John Kogut,1262268,University of Illinois at Urbana-Champaign
324,Henry Wyld,1262268,University of Illinois at Urbana-Champaign
325,ShauJin Chang,1262268,University of Illinois at Urbana-Champaign
326,Roman Hryciw,70000,University of Michigan Ann Arbor
327,Amelia Ward,350000,University of Alabama Tuscaloosa
328,Paul Kramer,50000,Duke University
330,Nancy Leveson,174385,University of California-Irvine
331,Maura Weathers,154065,Cornell University
332,William Bassett,273265,Cornell University
333,John Bird,154065,Cornell University
334,Dabney Dixon,50000,Georgia State University
336,Peter Ward,92171,University of Washington
337,Robert Behringer,237288,Duke University
338,William Moore,212889,Wayne State University
339,Daniel Stancil,144079,Carnegie-Mellon University
340,David Greve,50000,Carnegie-Mellon University
341,Tuviah Schlesinger,50000,Carnegie-Mellon University
344,Walter Koenig,58740,University of California-Berkeley
346,Henry McKean,28000,New York University
347,Sandra Faber,133058,University of California-Santa Cruz
350,David Pitts,19274,University of Nebraska-Lincoln
351,John McMillan,62294,University of California-San Diego
352,Tara Vishwanath,32730,Northwestern University
353,Richard Youchak,13912,University of Pittsburgh
354,HRichard Feller,13912,University of Pittsburgh
355,Barbara Nash,75700,University of Utah
359,Richard Dugdale,300810,University of Southern California
360,Frances Wilkerson,300810,University of Southern California
361,Frank Feher,182050,University of California-Irvine
362,Andrew Haas,33850,University of Connecticut
363,Christopher Mawer,46458,University of New Mexico
364,John Geissman,46458,University of New Mexico
365,Martin Fisk,353220,Oregon State University
366,Anita Grunder,270450,Oregon State University
367,Dieter Soll,7700,Yale University
368,Marshall Poole,427384,University of Minnesota-Twin Cities
369,Gerardine DeSanctis,427384,University of Minnesota-Twin Cities
370,Elizabeth Bernays,62298,University of California-Berkeley
371,Gerd LaMar,6000,University of California-Davis
372,Eugene Nothnagel,178800,University of California-Riverside
373,Albert Boggess,7458,Texas A&M Research Foundation
374,Arthur Matches,15462,Texas Tech University
375,William Anderson,60272,University of Michigan Ann Arbor
377,CaroBeth Stewart,52800,Fellowships
378,Harue Wada,246530,University of Michigan Ann Arbor
380,DANA NANCE,27850,Duke University
382,John Anderson,2274378,Carnegie-Mellon University
383,Robert Warner,258281,University of California-Santa Barbara
384,Milton Harris,72980,University of Chicago
385,Margaret Levi,12000,University of Washington
386,Douglas Torr,414200,University of Alabama in Huntsville
387,Philip Richards,342200,University of Alabama in Huntsville
388,Robert Gray,309429,Stanford University
389,Rolf Winter,40000,College of William and Mary
390,Joseph Smyth,166147,University of Colorado at Boulder
391,Richard Mathies,55000,University of California-Berkeley
392,Nancy Milton,71514,Board of Regents, NSHE, obo University of Nevada, Reno
393,Gary Kramer,84600,Purdue University
394,Philip Fuchs,84600,Purdue University
396,David Brooks,82700,Texas A&M Research Foundation
397,Leon Avery,22163,Fellowships
398,John Booker,373810,University of Washington
399,William Agosta,38050,Rockefeller University
400,Dan Clawson,150000,University of Massachusetts Amherst
