id,name,money,institute
0,August Epple,1913,Travel Award
1,Geoffrey Thompson,552936,Woods Hole Oceanographic Institution
2,Wilfred Bryan,541536,Woods Hole Oceanographic Institution
3,Henry Dick,835825,Woods Hole Oceanographic Institution
4,Kan Chen,126500,University of Michigan Ann Arbor
6,Neil Opdyke,54950,Columbia University Lamont Doherty Earth Observatory
7,Floyd McCoy,54950,Columbia University Lamont Doherty Earth Observatory
8,Terence Hughes,255446,University of Maine
9,Robert Thomas,255446,University of Maine
10,Joseph Diestel,17456,Kent State University
11,Lane Johnson,103700,University of California-Berkeley
13,Tom Mabry,27900,University of Texas at Austin
17,none DATANOTAVAILABLE,5100,Brown University
18,David Evans,119745,University of Rhode Island
19,Donald Merlo,14040,Individual Award
20,Chung Lim,64300,Missouri University of Science and Technology
21,Otto Stein,2400,University of Massachusetts Amherst
22,Michael Zeilik,1134,Travel Award
23,John Brule,24950,Syracuse University
24,Amiya Mukherjee,246935,University of California-Davis
26,Roger Mellgren,126070,University of Oklahoma Norman Campus
27,Roger Fouts,126070,University of Oklahoma Norman Campus
29,Irwin Spear,57220,University of Texas at Austin
30,Peter Polson,154693,University of Colorado at Boulder
32,PGalen Lenhert,96000,Vanderbilt University
33,Melvin Joesten,96000,Vanderbilt University
35,Sudhakar Pandit,2130,Travel Award
36,James Walker,187000,Johns Hopkins University
37,ChiaLing Chien,242284,Johns Hopkins University
38,TehLung Ku,213458,University of Southern California
39,William Easton,57000,University of Southern California
40,Henry Ehrenreich,854958,Harvard University
41,Bertrand Halperin,854958,Harvard University
42,Paul Martin,854958,Harvard University
43,Kent Fuller,24700,University of Iowa
44,Frank Longo,75400,University of Iowa
45,Christopher Lange,60000,University of Rochester
46,Roger Clark,60000,University of Rochester
47,Albert Erickson,1021,Travel Award
48,DonKaye Worsencroft,22392,Individual Award
49,Roger Sloboda,32000,Dartmouth College
51,Eugene Man,57500,University of Miami Rosenstiel School of Marine&Atmospheric Sci
52,Christopher Harrison,79900,University of Miami Rosenstiel School of Marine&Atmospheric Sci
53,Thomas Wolfram,70393,University of Missouri-Columbia
54,John Porter,2079,Travel Award
55,Maxwell Rosenlicht,193700,University of California-Berkeley
56,William MacKnight,69700,University of Massachusetts Amherst
57,Isidoro Orlanski,147700,Princeton University
58,Frank Lipps,147700,Princeton University
59,Yoshio Kurihara,147700,Princeton University
60,George Mellor,147700,Princeton University
61,Peter Herczfeld,2900,Travel Award
62,JRobert Buchler,59000,University of Florida
63,Stanley Prusiner,107081,University of California-San Francisco
64,William Reiff,81500,Northeastern University
65,David Margules,110195,Temple University
66,Bruce McConnell,121500,University of Hawaii
68,None None,7300,University of Wisconsin-Milwaukee
69,Erick Walton,810,Travel Award
71,Kenneth Stokoe,1014,Travel Award
74,William Wheaton,69481,Massachusetts Institute of Technology
75,Gregory Brewer,90000,University of Southern California
76,Hugh Kelly,80000,University of Virginia Main Campus
78,Judith Croxdale,28595,Virginia Polytechnic Institute and State University
79,Boris Weisfeiler,21000,Pennsylvania State Univ University Park
80,Kamel Salama,75756,University of Houston
81,Gerald Geison,69267,Princeton University
82,K Beatty,39700,North Carolina State University
83,F Richardson,39700,North Carolina State University
84,George GadboisJr,4150,University of Kentucky
86,John Lundberg,46310,Georgia Tech Research Corporation
87,Shangkeng Ma,119433,University of California-San Diego
88,J Swedlow,680,Travel Award
89,LBartholomew Landry,111000,University of Maryland College Park
90,Paul Paris,162279,Washington University
93,Richard Miller,38497,University of California-Santa Barbara
94,Eberhard Riedel,154030,University of Washington
95,Ira Richards,4200,Rutgers University New Brunswick
96,Arthur Dempster,180727,Harvard University
97,William Sharp,46700,University of Michigan Ann Arbor
98,TongWha Shyn,46700,University of Michigan Ann Arbor
99,Pamela Lee,20000,Howard University
100,William Agyei,20000,Howard University
101,Sigmund Hammer,2042,Travel Award
102,William Metcalf,607700,Woods Hole Oceanographic Institution
103,Sebastian Doniach,20463633,Stanford University
104,John Knauss,2918807,University of Rhode Island
106,Peter Havas,58800,Temple University
107,Jeffrey Cohen,42800,Temple University
108,Henry Prange,77220,Indiana University
109,Robert Colwell,3400,University of California-Berkeley
111,B Tanenbaum,19480,Harvey Mudd College
112,Harry Bryden,524600,Woods Hole Oceanographic Institution
113,Hellmut Fritzsche,292001,University of Chicago
114,None None,73000,University of California-Davis
115,Charles Vaughn,115015,Miami University
117,Peter Trescott,6200,UNITED STATES DEPT OF GEOLOGICAL SURVEY
118,none DATANOTAVAILABLE,7000,Travel Award
119,Susan Asanovic,5000,Individual Award
120,George Johnson,4660,Washington University
121,Colin Flynn,4845000,University of Illinois at Urbana-Champaign
122,Francis Chen,32300,University of California-Los Angeles
123,Richard Larson,170000,Yale University
124,Paul Tasch,35849,Wichita State University
125,Nathan Buras,420000,Stanford University
126,George Dantzig,420000,Stanford University
127,Jack Wilmore,19900,University of Arizona
128,none DATANOTAVAILABLE,315293,Cornell University
129,Israel Berstein,261941,Cornell University
130,Charles Birkeland,1639,Travel Award
131,W Wood,70000,Michigan State University
132,Robert Eagon,62500,University of Georgia
133,James Parsons,1480,University of California-Berkeley
134,Ernest Williams,50400,Harvard University
135,E Parmentier,20000,Brown University
136,David Vogan,6600,American Mathematical Society
137,Robert Bau,120000,University of Southern California
138,Wilbur Zelinsky,43763,Pennsylvania State Univ University Park
139,John Hanson,127700,University of Illinois at Urbana-Champaign
140,Ronald Vanelli,48600,Harvard University
141,Frederic Mowle,37700,Purdue University
143,Jerome Kaminker,21144,Indiana University
145,Kenneth Diller,65300,University of Texas at Austin
146,Andrew Fejer,20000,Illinois Institute of Technology
148,William Fickinger,163500,Case Western Reserve University
149,D Robinson,163500,Case Western Reserve University
150,Rex Lowe,50000,Bowling Green State University
151,Ole Mathisen,64500,University of Washington
152,Frederick Sherman,20400,University of California-Berkeley
153,John Clark,985574,University of Minnesota-Twin Cities
154,TMichael Carter,985574,University of Minnesota-Twin Cities
155,Robert Leik,985574,University of Minnesota-Twin Cities
156,Ernest Henley,2900,University of Washington
157,C Shetty,54443,Georgia Tech Research Corporation
158,Steven Goods,13990,Individual Award
159,Arnold Kas,2100,Oregon State University
160,Stuart Goldstein,113000,University of Minnesota-Twin Cities
161,KuoChung Tai,16631,North Carolina State University
162,John Kutzbach,169515,University of Wisconsin-Madison
163,Albert Swain,49400,University of Wisconsin-Madison
164,Gary Greenhut,7175,Individual Award
165,Richard Merriam,20600,University of Southern California
166,Paul Horowitz,92500,Harvard University
167,Lee Grodzins,92500,Harvard University
168,David Pimentel,234000,Cornell University
169,Joyce Sween,82563,DePaul University
170,Widen Tabakoff,45000,University of Cincinnati Main Campus
172,Mirjana Randic,113073,Iowa State University
174,Wayne Dunlap,25000,Texas A&M University Main Campus
175,James Luyten,1087890,Woods Hole Oceanographic Institution
176,Arthur Arnold,120475,University of California-Los Angeles
178,Carole Hickman,36319,University of California-Berkeley
179,Robert Giegengack,73000,University of Pennsylvania
181,Lawrence Perko,28351,University of Arizona
184,Andrew Christensen,168000,University of Texas at Dallas
185,Brian Tinsley,168000,University of Texas at Dallas
186,David Cheng,50000,CUNY City College
187,Brian Middleditch,200,Travel Award
188,Arthur Fricke,87998,University of Maine
189,Richard Miller,85304,Iowa State University
190,Marenes Tripp,264197,University of Delaware
191,John Geisler,91900,University of Miami Rosenstiel School of Marine&Atmospheric Sci
192,Robert Rinker,68400,University of California-Santa Barbara
193,Anne Pierotti,18000,Individual Award
194,Michael Connolly,12300,University of Florida
196,David Dunn,7300,University of North Carolina at Chapel Hill
197,James Bjorken,1515,Travel Award
198,Shlomo Sternberg,225500,Harvard University
199,Barry Mazur,225500,Harvard University
200,Richard Birkebak,970,Travel Award
202,Sheldon Koenig,26541,Individual Award
203,HsiehWen Shen,6100,Colorado State University
205,Payson Sheets,58400,University of Colorado at Boulder
206,Newton Morton,2000,University of Hawaii
207,C Chung,2000,University of Hawaii
208,Cecil Smith,12150,Southern Methodist University
209,Harvey Sheppard,5000,National Academy of Sciences
210,Joseph Puthenpurayil,38389,Pennsylvania State Univ University Park
211,Kenneth Rosen,5400,University of Colorado at Boulder
212,Frank Stafford,85000,University of Michigan Ann Arbor
213,James Arthur,30187,Duke University
214,Carmine Coscia,124111,Saint Louis University
215,Glenn Schober,27600,Indiana University
216,LWilson Pearson,20000,University of Kentucky
218,Sam Hedayat,650,Travel Award
219,Donald Langmuir,134500,Pennsylvania State Univ University Park
220,Hubert Barnes,395500,Pennsylvania State Univ University Park
224,Earl Berkson,81200,University of Illinois at Urbana-Champaign
225,Eugene Speer,40300,Rutgers University New Brunswick
227,John Meakin,22000,University of Nebraska-Lincoln
228,Ann Welton,719,Travel Award
229,J Cammarata,23700,Virginia Polytechnic Institute and State University
230,Roger Hackman,23700,Virginia Polytechnic Institute and State University
231,Osmund HolmHansen,48356,University of California-San Diego
232,Robert Mead,41200,Board of Regents, NSHE, obo University of Nevada, Reno
233,Ralph DeVries,2078,Travel Award
234,Craig Nohl,775,Travel Award
235,K Burnett,17000,University of Oklahoma Norman Campus
236,George West,113400,University of Alaska Fairbanks Campus
237,Stephen MacLean,41217,University of Alaska Fairbanks Campus
239,Gabriel Weinreich,128375,University of Michigan Ann Arbor
240,Peter Molnar,219100,Massachusetts Institute of Technology
241,Harold Scheffler,3800,Yale University
244,John Trefny,75000,Colorado School of Mines
246,Y Chan,6800,University of Washington
247,Robert Panvini,225622,Vanderbilt University
248,Robert Buhrman,112700,Cornell University
249,Keith Miller,51864,University of California-Berkeley
250,Peter Axel,6970000,University of Illinois at Urbana-Champaign
251,Alfred Hanson,6970000,University of Illinois at Urbana-Champaign
252,Robert Chambers,19470,Pomona College
254,EPeter Geiduschek,128000,University of California-San Diego
255,Jerry Whitten,619,Travel Award
256,Egor Popov,2113,Travel Award
257,Edward Jones,198224,Princeton University
260,David Evans,72650,University of Texas at Austin
261,Robert Dott,29556,Individual Award
262,Georgia Lanoil,21600,Individual Award
263,Gregg Oden,37300,University of Wisconsin-Madison
264,Maurice Auslander,687,Travel Award
265,Michael Rodgers,60100,University of Texas at Austin
266,Boyd Hardesty,60100,University of Texas at Austin
267,Charles Trottman,91099,Jackson State University
268,Norbert Hauser,41580,Polytechnic University of New York
269,Monroe Donsker,108400,New York University
270,Srinivasa Varadhan,108400,New York University
274,Arne Slettebak,22000,Ohio State University
276,Steven Kleiman,99000,Massachusetts Institute of Technology
277,Mandyam Srinath,47900,Southern Methodist University
278,Wilhelm Magnus,14400,Polytechnic University of New York
279,Lawrence Cannon,50150,Utah State University
280,John Wolfe,19980,Oklahoma State University
281,Paul Packman,22321,Individual Award
283,James Stevenson,1131,Travel Award
284,Marilyn Suydam,24700,Ohio State University
285,George Epstein,381,Travel Award
286,Michael Andrews,15100,Colorado State University
287,Richard Richardson,3042,University of Texas at Austin
288,Stephen Wilson,20000,University of Virginia Main Campus
290,Seymour Ginsburg,88758,University of Southern California
291,Chatty Pittman,26600,Individual Award
