source,target
0,46
0,337
0,620
0,674
0,933
0,1061
0,1062
0,1122
0,1383
0,1444
0,1626
0,1978
0,2373
0,2439
0,2440
0,2479
0,2532
0,2679
0,2683
0,2709
0,2768
0,2950
0,3204
0,3235
0,3510
0,3667
0,3940
0,4027
0,4120
0,4129
0,4177
0,4178
0,4318
0,4651
0,5109
0,5771
0,5808
0,5809
0,5810
0,5870
0,5938
0,5977
0,6286
0,6287
0,6382
0,6412
0,6598
0,6980
0,7062
0,7180
0,7268
0,7371
0,7372
0,7373
0,7571
0,8034
0,8330
46,337
46,620
46,674
46,933
46,1061
46,1062
46,1122
46,1383
46,1444
46,1626
46,1978
46,2373
46,2439
46,2440
46,2479
46,2532
46,2679
46,2683
46,2709
46,2768
46,2950
46,3204
46,3235
46,3510
46,3667
46,3940
46,4027
46,4120
46,4129
46,4177
46,4178
46,4318
46,4651
46,5109
46,5771
46,5808
46,5809
46,5810
46,5870
46,5938
46,5977
46,6286
46,6287
46,6382
46,6412
46,6598
46,6980
46,7062
46,7180
46,7268
46,7371
46,7372
46,7373
46,7571
46,8034
46,8330
337,620
337,674
337,933
337,1061
337,1062
337,1122
337,1383
337,1444
337,1626
337,1978
337,2373
337,2439
337,2440
337,2479
337,2532
337,2679
337,2683
337,2709
337,2768
337,2950
337,3204
337,3235
337,3510
337,3667
337,3940
337,4027
337,4120
337,4129
337,4177
337,4178
337,4318
337,4651
337,5109
337,5771
337,5808
337,5809
337,5810
337,5870
337,5938
337,5977
337,6286
337,6287
337,6382
337,6412
337,6598
337,6980
337,7062
337,7180
337,7268
337,7371
337,7372
337,7373
337,7571
337,8034
337,8330
620,674
620,933
620,1061
620,1062
620,1122
620,1383
620,1444
620,1626
620,1978
620,2373
620,2439
620,2440
620,2479
620,2532
620,2679
620,2683
620,2709
620,2768
620,2950
620,3204
620,3235
620,3510
620,3667
620,3940
620,4027
620,4120
620,4129
620,4177
620,4178
620,4318
620,4651
620,5109
620,5771
620,5808
620,5809
620,5810
620,5870
620,5938
620,5977
620,6286
620,6287
620,6382
620,6412
620,6598
620,6980
620,7062
620,7180
620,7268
620,7371
620,7372
620,7373
620,7571
620,8034
620,8330
