id,name,money,institute
0,James Demas,150000,University of Virginia Main Campus
1,WDean Harman,150000,University of Virginia Main Campus
2,Michael Latcha,214000,Oakland University
3,YouLiang Gu,214000,Oakland University
4,Yau Hung,270000,Oakland University
5,Sarma Vishnubhotla,214000,Oakland University
6,Joseph Hovanesian,270000,Oakland University
7,EValentine Daniel,9737,University of Michigan Ann Arbor
8,Eric Smith,294679,University of Washington
9,Huseyin Kocak,110000,University of Miami
10,Kenneth Palmer,110000,University of Miami
11,Michael Kremer,200000,Massachusetts Institute of Technology
12,Lisa Sloan,310704,University of California-Santa Cruz
13,David Brillinger,212728,University of California-Berkeley
14,Alexander Muci,80000,MA Fellowships
15,PBenson Shing,260015,University of Colorado at Boulder
16,Enrico Spacone,260015,University of Colorado at Boulder
17,Kaspar Willam,354943,University of Colorado at Boulder
19,Lawrence Genalo,99990,Iowa State University
20,Krishna Athreya,99990,Iowa State University
21,David Petzel,114445,Creighton University
22,Frank Dowd,114445,Creighton University
23,DDavid Smith,114445,Creighton University
24,Noel Holbrook,20183,Harvard University
25,Lal Pinnaduwage,223779,University of Tennessee Knoxville
26,Panos Datskos,223779,University of Tennessee Knoxville
27,Fidelis Masao,237183,Rutgers University New Brunswick
28,Robert Blumenschine,237183,Rutgers University New Brunswick
29,Daron Acemoglu,130882,Massachusetts Institute of Technology
31,Dwight Smith,359090,University of Denver
35,Jess Zimmerman,148570,University of Puerto Rico
36,Robin Ross,4472364,University of California-Santa Barbara
37,Raymond Smith,4472364,University of California-Santa Barbara
38,Langdon Quetin,4472364,University of California-Santa Barbara
39,Susan Coppersmith,167100,University of Chicago
40,HuaiDong Cao,400334,Texas A&M Research Foundation
41,Jon Pitts,450334,Texas A&M Research Foundation
42,Emil Straube,400334,Texas A&M Research Foundation
43,Harold Boas,400334,Texas A&M Research Foundation
44,Peter Stiller,412834,Texas A&M Research Foundation
45,Paulo LimaFilho,400334,Texas A&M Research Foundation
46,Rekha Thomas,400334,Texas A&M Research Foundation
47,Philip Garner,345500,Case Western Reserve University
48,AJTimothy Jull,218633,University of Arizona
49,Nathaniel Lifton,218633,University of Arizona
50,Jay Quade,218633,University of Arizona
51,James Fristrom,229853,University of California-Berkeley
54,Calvin Miller,88309,Vanderbilt University
55,James Davenport,45364,University of Memphis
56,Barbara Taller,45364,University of Memphis
57,BarbaraAnn Lewis,265019,Northwestern University
58,Irene Moroz,254467,Cornell University
59,CS Yao,254467,Cornell University
60,Mark Glauser,254467,Cornell University
61,John Lumley,254467,Cornell University
64,Christopher Ballentine,90025,University of Michigan Ann Arbor
65,Peter vanKeken,90025,University of Michigan Ann Arbor
66,Lewis Branscomb,113331,Harvard University
70,Raymond Duch,115380,University of Houston
71,Louis Chow,81808,University of Central Florida
72,April Brown,369997,Georgia Tech Research Corporation
74,JungHoon Chun,299981,Massachusetts Institute of Technology
75,Teiichi Ando,299981,Massachusetts Institute of Technology
76,Zaichun Feng,299981,Massachusetts Institute of Technology
77,Taiquing Qiu,299981,Massachusetts Institute of Technology
78,Lawrence Mayer,645299,University of Maine
81,Alexander Kleshchev,66875,University of Oregon Eugene
82,Fred McDowell,17000,University of Texas at Austin
83,Niall Slowey,203026,Texas A&M Research Foundation
84,Saeqa Vrtilek,63395,Harvard University
85,Brandon Gaut,146583,Rutgers University New Brunswick
86,James White,205291,Rutgers University New Brunswick
