id,name,money,institute
0,MayBeth Givan,373146,Bunker Ramo Corporation
1,Kenneth Spengler,87163,American Meteorological Society
2,Jeremy Taylor,0,Alpine Geophysical Associates
3,MayBeth Givan,524030,National Academy of Sciences
4,Harold Coolidge,291000,National Academy of Sciences
5,Walter Roberts,18195112,National Center For Atmospheric Research
6,Carl Frey,399660,American Association of Engineering Societies Inc
7,MayBeth Givan,141542,American Psychological Assoc
8,Evron Kirkpatrick,61155,American Political Science Association
9,Jeremy Taylor,0,Stanford University
10,C Sunderlin,345000,National Academy of Sciences
11,Robert Hughes,4000000,Associated Universities Inc/National Radio Astronomy Observatory
12,Jeremy Taylor,0,Scripta Technica Inc
13,MayBeth Givan,246813,American Institute of Physics
14,Russell Stevens,50000,National Academy of Sciences
15,MayBeth Givan,78734,Information Management Inc
16,Roy Tassava,808700,ACS Chemical Abstracts
17,Judy Stamps,299114,American Chemical Society (ACS)
18,Gordon Walker,240824,American Mathematical Society
19,John Ripken,3062356,Smithsonian Institution
20,Edward Lehman,42933,American Anthropological Assoc
21,Walter Smolen,895282,Alpine Geophysical Associates
