source,target
0,1260
0,2449
0,2740
0,3523
0,4486
0,4827
0,5274
0,5275
0,6100
0,7187
0,7441
0,7442
0,7443
1260,2449
1260,2740
1260,3523
1260,4486
1260,4827
1260,5274
1260,5275
1260,6100
1260,7187
1260,7441
1260,7442
1260,7443
2449,2740
2449,3523
2449,4486
2449,4827
2449,5274
2449,5275
2449,6100
2449,7187
2449,7441
2449,7442
2449,7443
2740,3523
2740,4486
2740,4827
2740,5274
2740,5275
2740,6100
2740,7187
2740,7441
2740,7442
2740,7443
3523,4486
3523,4827
3523,5274
3523,5275
3523,6100
3523,7187
3523,7441
3523,7442
3523,7443
4486,4827
4486,5274
4486,5275
4486,6100
4486,7187
4486,7441
4486,7442
4486,7443
4827,5274
4827,5275
4827,6100
4827,7187
4827,7441
4827,7442
4827,7443
5274,5275
5274,6100
5274,7187
5274,7441
5274,7442
5274,7443
5275,6100
5275,7187
5275,7441
5275,7442
5275,7443
6100,7187
6100,7441
6100,7442
6100,7443
7187,7441
7187,7442
7187,7443
7441,7442
7441,7443
7442,7443
1,280
1,339
1,340
1,646
1,701
1,702
1,796
1,797
1,1077
1,1105
1,1106
1,1145
1,1320
1,1510
1,1511
1,1584
1,1585
1,1920
1,2132
1,2257
1,2258
1,2283
1,2485
1,2678
1,2679
1,2681
1,2701
1,2702
1,2703
1,2777
1,2874
1,3041
1,3361
1,3362
1,3384
1,3556
1,3627
1,3822
1,4061
1,4114
1,4383
1,4384
1,4496
1,4526
1,4725
1,4726
1,5102
1,5161
1,5288
1,5411
1,5525
1,5526
1,5527
1,5576
1,5577
1,5578
1,5707
1,5835
1,5851
1,5894
1,5981
1,6007
1,6202
1,6338
1,6339
1,6376
1,6631
1,6810
1,6811
1,6895
1,6982
1,6987
1,6988
1,7273
1,7499
1,7790
1,7799
1,7808
1,8115
1,8162
1,8179
1,8201
1,8202
1,8235
1,8265
1,8518
1,8641
1,8712
1,8713
280,339
280,340
280,646
280,701
280,702
280,796
280,797
280,1077
280,1105
280,1106
280,1145
280,1320
280,1510
280,1511
280,1584
280,1585
280,1920
280,2132
280,2257
280,2258
280,2283
280,2485
280,2678
280,2679
280,2681
280,2701
280,2702
280,2703
280,2777
280,2874
280,3041
280,3361
280,3362
280,3384
280,3556
280,3627
280,3822
280,4061
280,4114
280,4383
280,4384
280,4496
280,4526
280,4725
280,4726
280,5102
280,5161
280,5288
280,5411
280,5525
280,5526
280,5527
280,5576
280,5577
280,5578
280,5707
280,5835
280,5851
280,5894
280,5981
280,6007
280,6202
280,6338
280,6339
280,6376
280,6631
280,6810
280,6811
280,6895
280,6982
280,6987
280,6988
280,7273
280,7499
280,7790
280,7799
280,7808
280,8115
280,8162
280,8179
280,8201
280,8202
280,8235
280,8265
280,8518
280,8641
280,8712
280,8713
339,340
339,646
339,701
339,702
339,796
339,797
339,1077
339,1105
339,1106
339,1145
339,1320
339,1510
339,1511
339,1584
339,1585
339,1920
339,2132
339,2257
339,2258
339,2283
339,2485
339,2678
339,2679
339,2681
339,2701
339,2702
339,2703
339,2777
339,2874
339,3041
339,3361
339,3362
339,3384
339,3556
339,3627
339,3822
339,4061
339,4114
339,4383
339,4384
339,4496
339,4526
339,4725
339,4726
339,5102
339,5161
339,5288
339,5411
339,5525
339,5526
339,5527
339,5576
339,5577
339,5578
339,5707
339,5835
339,5851
339,5894
339,5981
339,6007
339,6202
339,6338
339,6339
339,6376
339,6631
339,6810
339,6811
339,6895
339,6982
339,6987
339,6988
339,7273
339,7499
339,7790
339,7799
339,7808
339,8115
339,8162
339,8179
339,8201
339,8202
339,8235
339,8265
339,8518
339,8641
339,8712
339,8713
340,646
340,701
340,702
340,796
340,797
340,1077
340,1105
340,1106
340,1145
340,1320
340,1510
340,1511
340,1584
340,1585
340,1920
340,2132
340,2257
340,2258
340,2283
340,2485
340,2678
340,2679
340,2681
340,2701
340,2702
340,2703
340,2777
340,2874
340,3041
340,3361
340,3362
340,3384
340,3556
340,3627
340,3822
340,4061
340,4114
340,4383
340,4384
340,4496
340,4526
340,4725
340,4726
340,5102
340,5161
340,5288
340,5411
340,5525
