id,name,money,institute
0,Zhigang Zhu,100000,CUNY City College
1,Jie Gong,100000,CUNY City College
2,Camille Kamga,100000,CUNY City College
3,William Seiple,100000,CUNY City College
4,Candace Brakewood,100000,CUNY City College
5,Cecilia KelnhoferFeeley,100000,CUNY City College
6,David Lodge,1370148,Cornell University
7,Lyle Scruggs,208142,University of Connecticut
8,Nicholas Nidzieko,11657,University of California-Santa Barbara
9,David Levin,50000,University of Maryland College Park
10,Samrat Bhattacharjee,50000,University of Maryland College Park
14,Xiaodong Li,320000,University of Virginia Main Campus
15,Arash Khosravifar,99860,Portland State University
18,Wing Liu,537040,Northwestern University
19,Douglas Natelson,359999,William Marsh Rice University
20,James Morris,560415,University of Virginia Main Campus
21,Jessica Connelly,560415,University of Virginia Main Campus
22,Tobias Grossmann,560415,University of Virginia Main Campus
23,Veaceslav Coropceanu,289200,Georgia Tech Research Corporation
24,Aaron Striegel,610000,University of Notre Dame
25,James Rondinelli,479999,Northwestern University
27,Adam Smith,86913,Trustees of Boston University
28,Jorge Rodrigues,294705,University of Oregon Eugene
29,Brendan Bohannan,294705,University of Oregon Eugene
30,Lucas Silva,294705,University of Oregon Eugene
31,Scott Bridgham,294705,University of Oregon Eugene
32,Osama Awadelkarim,896654,Pennsylvania State Univ University Park
33,Sam Agdasi,896654,Pennsylvania State Univ University Park
34,Anthony Dalessio,896654,Pennsylvania State Univ University Park
35,Dwaine Davis,896654,Pennsylvania State Univ University Park
36,Kristine Schroeder,896654,Pennsylvania State Univ University Park
37,Jeffrey Wilson,148959,University of Michigan Ann Arbor
39,Marc Linderman,98905,University of Iowa
40,David Bennett,98905,University of Iowa
41,Seong Kim,319005,Pennsylvania State Univ University Park
42,Jonathan Rivnay,91182,Northwestern University
43,Rajdeep Dasgupta,199757,William Marsh Rice University
44,Martin Mourigal,114677,Georgia Tech Research Corporation
50,Eniko Enikov,300078,University of Arizona
51,Rein Anton,300078,University of Arizona
52,David Volz,325000,University of California-Riverside
53,Jinyong Liu,325000,University of California-Riverside
54,Mansour Shayegan,305332,Princeton University
55,Brendan Saltaformaggio,175000,Georgia Tech Research Corporation
56,Tongtong Li,150000,Michigan State University
59,Babak Borhan,415000,Michigan State University
60,Richard Lunt,415000,Michigan State University
61,Anushya Chandran,115000,Trustees of Boston University
62,Lloyd Bumm,442000,University of Oklahoma Norman Campus
63,Liangliang Huang,442000,University of Oklahoma Norman Campus
64,Judy Cha,730000,Yale University
65,Dan Coman,134000,Syracuse University
66,Yuan Yuan,30000,Syracuse University
67,Loredana Lanzani,30000,Syracuse University
71,Thomas Thornton,16603,Johns Hopkins University
72,Naveeda Khan,16603,Johns Hopkins University
73,Dustin Schroeder,257725,Stanford University
75,Burrell Nelson,301352,University of Wyoming
76,Lawrence Schmidt,301352,University of Wyoming
77,Gregory Brown,301352,University of Wyoming
78,Cynthia Stanich,299386,University of Washington
79,Deborah Wiegand,605165,University of Washington
80,Tetiana Shcherbyna,119998,Princeton University
81,Daniel Costinett,557000,University of Tennessee Knoxville
82,Ioana Suvaina,175974,Vanderbilt University
83,Kenneth Brezinsky,10000,University of Illinois at Chicago
87,James Aylor,249152,University of Virginia Main Campus
88,Homa Alemzadeh,249152,University of Virginia Main Campus
89,Benxin Wu,299739,Purdue University
91,Ramon Lopez,1167706,University of Texas at Arlington
92,Ann Cavallo,1167706,University of Texas at Arlington
93,James Alvarez,1167706,University of Texas at Arlington
94,JCarter Tiernan,1167706,University of Texas at Arlington
95,Gregory Hale,1167706,University of Texas at Arlington
99,Xiaoliang Qi,180000,Stanford University
100,Kyle Niemeyer,265210,Oregon State University
101,Yuanxun Wang,9845,University of California-Los Angeles
102,Nancy Healy,360859,Georgia Tech Research Corporation
103,Oliver Brand,443359,Georgia Tech Research Corporation
109,Mark Hersam,5600000,Northwestern University
110,Lincoln Lauhon,5600000,Northwestern University
111,Sossina Haile,5854038,Northwestern University
112,Chris Myers,166000,University of Utah
113,Angela Olinto,479966,University of Chicago
114,Paolo Privitera,479966,University of Chicago
115,Monica Geber,141401,Cornell University
116,Aubrie James,15994,Cornell University
117,Sonia Fahmy,668301,Purdue University
118,Xiaojun Lin,650000,Purdue University
119,Paul Grigas,465060,University of California-Berkeley
120,Eric Kramer,751586,University of Massachusetts Amherst
121,Magdalena Bezanilla,751586,University of Massachusetts Amherst
122,David Kaeli,348037,Northeastern University
123,Xue Lin,348037,Northeastern University
124,David Blank,399999,University of Minnesota-Twin Cities
125,Russell Holmes,399999,University of Minnesota-Twin Cities
126,Barbara Wanchisen,2198430,National Academy of Sciences
127,Matthias Fuchs,420000,University of Nebraska-Lincoln
128,Bradley Shadwick,420000,University of Nebraska-Lincoln
129,Martin Centurion,420000,University of Nebraska-Lincoln
